Description:
The Munsell renotation [Newhall1943, Table I] expresses Munsell colours, when
illuminated by illuminant C, in xyY coordinates.  This file contains an inverse
table, that converts xyY coordinates into Munsell notation.  The xy chromaticity
values in this file were chosen to lie on Cartestian grid points, and the values
of Y were chosen to correspond to integer Munsell values.  Each row of the file
was generated by a call to the routine xyYToMunsell.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  The file xyYToMunsell.m contains a detailed description of
the inversion algorithm, and a complete discussion appears in [Centore2012].
Those wishing to perform further conversions from Munsell to xyY coordinates
can either use routine xyYToMunsell.m directly, or write an interpolation routine
using the data in this file.  The second method is likely faster, but would not
be any more accurate than the first method.
The data in this file were produced in January 2011, and supersede an earlier version
produced in September 2010.  The
inversion algorithm used here, from [Centore2012] is slightly different from the algorithm
used then.

[Centore2012] Paul Centore, "An Open Source Inversion Algorithm for the Munsell Renotation,"
        Color Research & Application, 2012, to appear.  This paper is currently 
	available at www.99main.com/~centore
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  x	  y	  Y	   H    	 V	   C
0.24	0.50	3.05	1.9164G 	2.0	 7.2432
0.24	0.52	3.05	1.6117G 	2.0	 7.6098
0.24	0.54	3.05	1.3343G 	2.0	 7.9629
0.24	0.56	3.05	1.0609G 	2.0	 8.2386
0.24	0.58	3.05	0.8039G 	2.0	 8.5002
0.24	0.60	3.05	0.5641G 	2.0	 8.7569
0.24	0.62	3.05	0.3372G 	2.0	 9.0077
0.24	0.64	3.05	0.1294G 	2.0	 9.2583
0.24	0.66	3.05	9.9376GY	2.0	 9.5200
0.24	0.68	3.05	9.7637GY	2.0	 9.8072
0.24	0.70	3.05	9.5879GY	2.0	10.0862
0.26	0.10	3.05	4.5916P 	2.0	16.6263
0.26	0.12	3.05	4.1691P 	2.0	13.2322
0.26	0.14	3.05	3.6523P 	2.0	10.6495
0.26	0.16	3.05	3.0085P 	2.0	 8.4611
0.26	0.18	3.05	2.2393P 	2.0	 6.7861
0.26	0.20	3.05	1.2256P 	2.0	 5.2091
0.26	0.22	3.05	9.6907PB	2.0	 3.7982
0.26	0.24	3.05	7.6876PB	2.0	 2.8344
0.26	0.26	3.05	4.5411PB	2.0	 2.1553
0.26	0.28	3.05	8.6629B 	2.0	 1.8217
0.26	0.30	3.05	0.3307B 	2.0	 2.0086
0.26	0.32	3.05	4.3960BG	2.0	 2.5007
0.26	0.34	3.05	0.9988BG	2.0	 2.9979
0.26	0.36	3.05	8.1038G 	2.0	 3.5115
0.26	0.38	3.05	5.8867G 	2.0	 4.0312
0.26	0.40	3.05	4.2325G 	2.0	 4.5055
0.26	0.42	3.05	3.0580G 	2.0	 4.9587
0.26	0.44	3.05	2.2836G 	2.0	 5.4070
0.26	0.46	3.05	1.8587G 	2.0	 5.8707
0.26	0.48	3.05	1.4806G 	2.0	 6.2868
0.26	0.50	3.05	1.1528G 	2.0	 6.6671
0.26	0.52	3.05	0.8605G 	2.0	 7.0261
0.26	0.54	3.05	0.5991G 	2.0	 7.3698
0.26	0.56	3.05	0.3587G 	2.0	 7.6989
0.26	0.58	3.05	0.1400G 	2.0	 8.0161
0.26	0.60	3.05	9.9154GY	2.0	 8.2855
0.26	0.62	3.05	9.7181GY	2.0	 8.5751
0.26	0.64	3.05	9.5328GY	2.0	 8.8632
0.26	0.66	3.05	9.3589GY	2.0	 9.1503
0.26	0.68	3.05	9.1917GY	2.0	 9.4345
0.26	0.70	3.05	9.0376GY	2.0	 9.7197
0.28	0.10	3.05	6.4661P 	2.0	17.4441
0.28	0.12	3.05	6.1784P 	2.0	13.9587
0.28	0.14	3.05	5.8125P 	2.0	11.3676
0.28	0.16	3.05	5.3775P 	2.0	 9.1376
0.28	0.18	3.05	4.8687P 	2.0	 7.3273
0.28	0.20	3.05	4.2372P 	2.0	 5.7837
0.28	0.22	3.05	3.3279P 	2.0	 4.1819
0.28	0.24	3.05	1.8939P 	2.0	 2.9368
0.28	0.26	3.05	9.4588PB	2.0	 1.8977
0.28	0.28	3.05	5.3599PB	2.0	 1.3282
0.28	0.30	3.05	5.1320B 	2.0	 1.1085
0.28	0.32	3.05	4.0944BG	2.0	 1.5865
0.28	0.34	3.05	8.8307G 	2.0	 2.2421
0.28	0.36	3.05	5.2374G 	2.0	 2.8011
0.28	0.38	3.05	3.2952G 	2.0	 3.3515
0.28	0.40	3.05	2.2020G 	2.0	 3.8950
0.28	0.42	3.05	1.6029G 	2.0	 4.3852
0.28	0.44	3.05	1.1439G 	2.0	 4.8506
0.28	0.46	3.05	0.7850G 	2.0	 5.3082
0.28	0.48	3.05	0.4944G 	2.0	 5.7599
0.28	0.50	3.05	0.2241G 	2.0	 6.1642
0.28	0.52	3.05	9.9693GY	2.0	 6.5136
0.28	0.54	3.05	9.7503GY	2.0	 6.8693
0.28	0.56	3.05	9.5601GY	2.0	 7.2207
0.28	0.58	3.05	9.3881GY	2.0	 7.5667
0.28	0.60	3.05	9.2297GY	2.0	 7.9070
0.28	0.62	3.05	9.0575GY	2.0	 8.2089
0.28	0.64	3.05	8.8848GY	2.0	 8.4951
0.28	0.66	3.05	8.7238GY	2.0	 8.7806
0.28	0.68	3.05	8.5732GY	2.0	 9.0656
0.28	0.70	3.05	8.4321GY	2.0	 9.3500
0.30	0.10	3.05	8.1933P 	2.0	18.2888
0.30	0.12	3.05	8.0633P 	2.0	14.8190
0.30	0.14	3.05	7.9008P 	2.0	12.0714
0.30	0.16	3.05	7.6875P 	2.0	 9.7705
0.30	0.18	3.05	7.4791P 	2.0	 7.8584
0.30	0.20	3.05	7.2173P 	2.0	 6.3637
0.30	0.22	3.05	6.8699P 	2.0	 4.8005
0.30	0.24	3.05	6.3808P 	2.0	 3.3674
0.30	0.26	3.05	5.5728P 	2.0	 2.1162
0.30	0.28	3.05	3.9170P 	2.0	 1.2864
0.30	0.30	3.05	8.1744PB	2.0	 0.5526
0.30	0.32	3.05	1.9015BG	2.0	 0.6220
0.30	0.34	3.05	3.1875G 	2.0	 1.4461
0.30	0.36	3.05	1.4261G 	2.0	 2.2186
0.30	0.38	3.05	0.6455G 	2.0	 2.7751
0.30	0.40	3.05	0.2001G 	2.0	 3.3175
0.30	0.42	3.05	9.9185GY	2.0	 3.8584
0.30	0.44	3.05	9.6709GY	2.0	 4.3474
0.30	0.46	3.05	9.4647GY	2.0	 4.8116
0.30	0.48	3.05	9.2990GY	2.0	 5.2713
0.30	0.50	3.05	9.1627GY	2.0	 5.7277
0.30	0.52	3.05	9.0184GY	2.0	 6.1407
0.30	0.54	3.05	8.8433GY	2.0	 6.4854
0.30	0.56	3.05	8.6921GY	2.0	 6.8271
0.30	0.58	3.05	8.5555GY	2.0	 7.1645
0.30	0.60	3.05	8.4242GY	2.0	 7.4950
0.30	0.62	3.05	8.3087GY	2.0	 7.8245
0.30	0.64	3.05	8.1824GY	2.0	 8.1331
0.30	0.66	3.05	8.0388GY	2.0	 8.4177
0.30	0.68	3.05	7.9048GY	2.0	 8.7017
0.32	0.10	3.05	9.7540P 	2.0	19.1228
0.32	0.12	3.05	9.7163P 	2.0	15.5932
0.32	0.14	3.05	9.7023P 	2.0	12.8379
0.32	0.16	3.05	9.7006P 	2.0	10.5317
0.32	0.18	3.05	9.7584P 	2.0	 8.5315
0.32	0.20	3.05	9.8400P 	2.0	 6.9412
0.32	0.22	3.05	9.9671P 	2.0	 5.4655
0.32	0.24	3.05	0.1479RP	2.0	 3.9799
0.32	0.26	3.05	0.5025RP	2.0	 2.7069
0.32	0.28	3.05	1.2704RP	2.0	 1.6491
0.32	0.30	3.05	3.7035RP	2.0	 0.8700
0.32	0.32	3.05	4.6937YR	2.0	 0.2561
0.32	0.34	3.05	4.0224GY	2.0	 0.7883
0.32	0.36	3.05	6.5575GY	2.0	 1.6750
0.32	0.38	3.05	7.2017GY	2.0	 2.3392
0.32	0.40	3.05	7.5156GY	2.0	 2.8695
0.32	0.42	3.05	7.7760GY	2.0	 3.4106
0.32	0.44	3.05	7.9460GY	2.0	 3.9543
0.32	0.46	3.05	7.9281GY	2.0	 4.4050
0.32	0.48	3.05	7.9083GY	2.0	 4.8495
0.32	0.50	3.05	7.8910GY	2.0	 5.2932
0.32	0.52	3.05	7.8763GY	2.0	 5.7364
0.32	0.54	3.05	7.8185GY	2.0	 6.1329
0.32	0.56	3.05	7.7087GY	2.0	 6.4603
0.32	0.58	3.05	7.6104GY	2.0	 6.7850
0.32	0.60	3.05	7.5220GY	2.0	 7.1077
0.32	0.62	3.05	7.4634GY	2.0	 7.4394
0.32	0.64	3.05	7.4188GY	2.0	 7.7745
0.32	0.66	3.05	7.3667GY	2.0	 8.1016
0.34	0.12	3.05	0.7967RP	2.0	16.3718
0.34	0.14	3.05	0.8857RP	2.0	13.5488
0.34	0.16	3.05	1.0058RP	2.0	11.2720
0.34	0.18	3.05	1.1809RP	2.0	 9.2671
0.34	0.20	3.05	1.4346RP	2.0	 7.5640
0.34	0.22	3.05	1.7812RP	2.0	 6.1731
0.34	0.24	3.05	2.3311RP	2.0	 4.7424
0.34	0.26	3.05	3.2736RP	2.0	 3.4174
0.34	0.28	3.05	4.9164RP	2.0	 2.2312
0.34	0.30	3.05	9.3236RP	2.0	 1.4546
0.34	0.32	3.05	9.4169R 	2.0	 0.8596
0.34	0.34	3.05	1.6469Y 	2.0	 0.8072
0.34	0.36	3.05	9.6559Y 	2.0	 1.2748
0.34	0.38	3.05	3.0771GY	2.0	 2.0231
0.34	0.40	3.05	4.7589GY	2.0	 2.5514
0.34	0.42	3.05	5.5833GY	2.0	 3.0839
0.34	0.44	3.05	6.0895GY	2.0	 3.6158
0.34	0.46	3.05	6.4136GY	2.0	 4.1184
0.34	0.48	3.05	6.5759GY	2.0	 4.5505
0.34	0.50	3.05	6.6987GY	2.0	 4.9836
0.34	0.52	3.05	6.7956GY	2.0	 5.4176
0.34	0.54	3.05	6.8764GY	2.0	 5.8531
0.34	0.56	3.05	6.8874GY	2.0	 6.2204
0.34	0.58	3.05	6.8788GY	2.0	 6.5557
0.34	0.60	3.05	6.8717GY	2.0	 6.8909
0.34	0.62	3.05	6.8656GY	2.0	 7.2262
0.34	0.64	3.05	6.8603GY	2.0	 7.5614
0.36	0.12	3.05	1.7224RP	2.0	17.1658
0.36	0.14	3.05	1.9001RP	2.0	14.2494
0.36	0.16	3.05	2.1155RP	2.0	11.9588
0.36	0.18	3.05	2.4022RP	2.0	 9.9449
0.36	0.20	3.05	2.8152RP	2.0	 8.2055
0.36	0.22	3.05	3.3993RP	2.0	 6.8213
0.36	0.24	3.05	4.2208RP	2.0	 5.4868
0.36	0.26	3.05	5.5271RP	2.0	 4.1480
0.36	0.28	3.05	7.9179RP	2.0	 3.0135
0.36	0.30	3.05	1.6133R 	2.0	 2.0837
0.36	0.32	3.05	8.3539R 	2.0	 1.4888
0.36	0.34	3.05	6.3549YR	2.0	 1.2703
0.36	0.36	3.05	2.7718Y 	2.0	 1.3926
0.36	0.38	3.05	7.8801Y 	2.0	 1.8374
0.36	0.40	3.05	1.0559GY	2.0	 2.3619
0.36	0.42	3.05	2.7234GY	2.0	 2.8516
0.36	0.44	3.05	3.9048GY	2.0	 3.3631
0.36	0.46	3.05	4.6784GY	2.0	 3.8617
0.36	0.48	3.05	5.1357GY	2.0	 4.2950
0.36	0.50	3.05	5.4477GY	2.0	 4.7217
0.36	0.52	3.05	5.6877GY	2.0	 5.1496
0.36	0.54	3.05	5.8757GY	2.0	 5.5778
0.36	0.56	3.05	6.0334GY	2.0	 6.0078
0.36	0.58	3.05	6.1014GY	2.0	 6.3420
0.36	0.60	3.05	6.1595GY	2.0	 6.6774
0.36	0.62	3.05	6.2086GY	2.0	 7.0128
0.38	0.14	3.05	2.8561RP	2.0	15.0046
0.38	0.16	3.05	3.1801RP	2.0	12.6856
0.38	0.18	3.05	3.6070RP	2.0	10.6875
0.38	0.20	3.05	4.1562RP	2.0	 8.9286
0.38	0.22	3.05	4.8645RP	2.0	 7.4377
0.38	0.24	3.05	5.9151RP	2.0	 6.1745
0.38	0.26	3.05	7.5443RP	2.0	 4.8785
0.38	0.28	3.05	9.9105RP	2.0	 3.7168
0.38	0.30	3.05	3.0120R 	2.0	 2.8014
0.38	0.32	3.05	8.0099R 	2.0	 2.1222
0.38	0.34	3.05	3.8090YR	2.0	 1.8257
0.38	0.36	3.05	9.0377YR	2.0	 1.7948
0.38	0.38	3.05	3.3071Y 	2.0	 1.9905
0.38	0.40	3.05	7.1632Y 	2.0	 2.3396
0.38	0.42	3.05	9.8828Y 	2.0	 2.7499
0.38	0.44	3.05	1.4854GY	2.0	 3.2239
0.38	0.46	3.05	2.5823GY	2.0	 3.6863
0.38	0.48	3.05	3.4199GY	2.0	 4.1514
0.38	0.50	3.05	3.9605GY	2.0	 4.5515
0.38	0.52	3.05	4.3885GY	2.0	 4.9472
0.38	0.54	3.05	4.7410GY	2.0	 5.3409
0.38	0.56	3.05	5.0230GY	2.0	 5.7362
0.38	0.58	3.05	5.2270GY	2.0	 6.1282
0.38	0.60	3.05	5.3669GY	2.0	 6.4640
0.40	0.14	3.05	3.7499RP	2.0	15.7428
0.40	0.16	3.05	4.1756RP	2.0	13.3850
0.40	0.18	3.05	4.7044RP	2.0	11.3923
0.40	0.20	3.05	5.3874RP	2.0	 9.6055
0.40	0.22	3.05	6.2338RP	2.0	 8.0663
0.40	0.24	3.05	7.4346RP	2.0	 6.8084
0.40	0.26	3.05	9.0441RP	2.0	 5.5832
0.40	0.28	3.05	1.1550R 	2.0	 4.4364
0.40	0.30	3.05	3.9143R 	2.0	 3.5026
0.40	0.32	3.05	7.9973R 	2.0	 2.7887
0.40	0.34	3.05	2.6351YR	2.0	 2.3909
0.40	0.36	3.05	6.7179YR	2.0	 2.2791
0.40	0.38	3.05	0.6149Y 	2.0	 2.3439
0.40	0.40	3.05	3.9448Y 	2.0	 2.5374
0.40	0.42	3.05	6.8356Y 	2.0	 2.8346
0.40	0.44	3.05	9.0357Y 	2.0	 3.1997
0.40	0.46	3.05	0.6148GY	2.0	 3.6184
0.40	0.48	3.05	1.6683GY	2.0	 4.0669
0.40	0.50	3.05	2.3615GY	2.0	 4.4327
0.40	0.52	3.05	2.9512GY	2.0	 4.8205
0.40	0.54	3.05	3.4557GY	2.0	 5.2177
0.40	0.56	3.05	3.8620GY	2.0	 5.6127
0.40	0.58	3.05	4.2006GY	2.0	 6.0048
0.42	0.16	3.05	5.1032RP	2.0	14.0474
0.42	0.18	3.05	5.7337RP	2.0	12.0519
0.42	0.20	3.05	6.5040RP	2.0	10.2744
0.42	0.22	3.05	7.4557RP	2.0	 8.7506
0.42	0.24	3.05	8.6658RP	2.0	 7.4262
0.42	0.26	3.05	0.2501R 	2.0	 6.2423
0.42	0.28	3.05	2.1453R 	2.0	 5.1378
0.42	0.30	3.05	4.5957R 	2.0	 4.1914
0.42	0.32	3.05	7.9885R 	2.0	 3.4556
0.42	0.34	3.05	1.8353YR	2.0	 2.9889
0.42	0.36	3.05	5.3166YR	2.0	 2.7990
0.42	0.38	3.05	8.6233YR	2.0	 2.7891
0.42	0.40	3.05	1.6132Y 	2.0	 2.8871
0.42	0.42	3.05	4.3273Y 	2.0	 3.0716
0.42	0.44	3.05	6.6318Y 	2.0	 3.3361
0.42	0.46	3.05	8.4731Y 	2.0	 3.6616
0.42	0.48	3.05	9.9519Y 	2.0	 4.0249
0.42	0.50	3.05	0.9104GY	2.0	 4.4340
0.42	0.52	3.05	1.6063GY	2.0	 4.8020
0.42	0.54	3.05	2.1548GY	2.0	 5.1446
0.42	0.56	3.05	2.6282GY	2.0	 5.4899
0.44	0.16	3.05	6.0245RP	2.0	14.7605
0.44	0.18	3.05	6.7080RP	2.0	12.7052
0.44	0.20	3.05	7.5263RP	2.0	10.9284
0.44	0.22	3.05	8.4918RP	2.0	 9.3970
0.44	0.24	3.05	9.7223RP	2.0	 8.0351
0.44	0.26	3.05	1.1501R 	2.0	 6.8722
0.44	0.28	3.05	2.9226R 	2.0	 5.8311
0.44	0.30	3.05	5.1876R 	2.0	 4.8823
0.44	0.32	3.05	8.0301R 	2.0	 4.1220
0.44	0.34	3.05	1.2620YR	2.0	 3.6045
0.44	0.36	3.05	4.3357YR	2.0	 3.3448
0.44	0.38	3.05	7.1208YR	2.0	 3.2747
0.44	0.40	3.05	9.9550YR	2.0	 3.3124
0.44	0.42	3.05	2.2816Y 	2.0	 3.4210
0.44	0.44	3.05	4.5803Y 	2.0	 3.5987
0.44	0.46	3.05	6.4927Y 	2.0	 3.8409
0.44	0.48	3.05	8.1029Y 	2.0	 4.1470
0.44	0.50	3.05	9.3848Y 	2.0	 4.4924
0.44	0.52	3.05	0.3450GY	2.0	 4.8362
0.44	0.54	3.05	1.0196GY	2.0	 5.2005
0.46	0.18	3.05	7.6227RP	2.0	13.3331
0.46	0.20	3.05	8.4272RP	2.0	11.5663
0.46	0.22	3.05	9.4349RP	2.0	10.0239
0.46	0.24	3.05	0.5804R 	2.0	 8.6692
0.46	0.26	3.05	1.9363R 	2.0	 7.4640
0.46	0.28	3.05	3.5807R 	2.0	 6.4637
0.46	0.30	3.05	5.6350R 	2.0	 5.5773
0.46	0.32	3.05	8.2102R 	2.0	 4.7937
0.46	0.34	3.05	0.9433YR	2.0	 4.2329
0.46	0.36	3.05	3.6249YR	2.0	 3.9065
0.46	0.38	3.05	6.0653YR	2.0	 3.7862
0.46	0.40	3.05	8.5036YR	2.0	 3.7827
0.46	0.42	3.05	0.8150Y 	2.0	 3.8430
0.46	0.44	3.05	2.7977Y 	2.0	 3.9552
0.46	0.46	3.05	4.7942Y 	2.0	 4.1375
0.46	0.48	3.05	6.4774Y 	2.0	 4.3948
0.46	0.50	3.05	7.9017Y 	2.0	 4.6775
0.46	0.52	3.05	8.9930Y 	2.0	 4.9900
0.48	0.18	3.05	8.4098RP	2.0	13.9067
0.48	0.20	3.05	9.2612RP	2.0	12.1626
0.48	0.22	3.05	0.2514R 	2.0	10.6396
0.48	0.24	3.05	1.3028R 	2.0	 9.2700
0.48	0.26	3.05	2.6179R 	2.0	 8.0377
0.48	0.28	3.05	4.1625R 	2.0	 7.0481
0.48	0.30	3.05	6.0475R 	2.0	 6.2299
0.48	0.32	3.05	8.3746R 	2.0	 5.4563
0.48	0.34	3.05	0.8538YR	2.0	 4.8714
0.48	0.36	3.05	3.2488YR	2.0	 4.4986
0.48	0.38	3.05	5.3313YR	2.0	 4.3227
0.48	0.40	3.05	7.4246YR	2.0	 4.2811
0.48	0.42	3.05	9.6358YR	2.0	 4.3108
0.48	0.44	3.05	1.5960Y 	2.0	 4.3999
0.48	0.46	3.05	3.3966Y 	2.0	 4.5454
0.48	0.48	3.05	5.0441Y 	2.0	 4.7241
0.48	0.50	3.05	6.5008Y 	2.0	 4.9668
0.50	0.20	3.05	0.0381R 	2.0	12.7367
0.50	0.22	3.05	0.9101R 	2.0	11.2167
0.50	0.24	3.05	1.9554R 	2.0	 9.8435
0.50	0.26	3.05	3.2208R 	2.0	 8.6454
0.50	0.28	3.05	4.6702R 	2.0	 7.6103
0.50	0.30	3.05	6.4741R 	2.0	 6.8251
0.50	0.32	3.05	8.5393R 	2.0	 6.1057
0.50	0.34	3.05	0.7805YR	2.0	 5.5117
0.50	0.36	3.05	2.9685YR	2.0	 5.1061
0.50	0.38	3.05	4.8242YR	2.0	 4.8835
0.50	0.40	3.05	6.7177YR	2.0	 4.8030
0.50	0.42	3.05	8.6512YR	2.0	 4.8023
0.50	0.44	3.05	0.5416Y 	2.0	 4.8637
0.50	0.46	3.05	2.3004Y 	2.0	 4.9760
0.50	0.48	3.05	3.8311Y 	2.0	 5.1364
0.52	0.20	3.05	0.6429R 	2.0	13.2866
0.52	0.22	3.05	1.5296R 	2.0	11.7626
0.52	0.24	3.05	2.5839R 	2.0	10.3993
0.52	0.26	3.05	3.8075R 	2.0	 9.2167
0.52	0.28	3.05	5.1678R 	2.0	 8.1786
0.52	0.30	3.05	6.8558R 	2.0	 7.4172
0.52	0.32	3.05	8.8469R 	2.0	 6.6900
0.52	0.34	3.05	0.7615YR	2.0	 6.1408
0.52	0.36	3.05	2.7406YR	2.0	 5.7207
0.52	0.38	3.05	4.4293YR	2.0	 5.4653
0.52	0.40	3.05	6.1349YR	2.0	 5.3391
0.52	0.42	3.05	7.8327YR	2.0	 5.3020
0.52	0.44	3.05	9.6005YR	2.0	 5.3397
0.52	0.46	3.05	1.2966Y 	2.0	 5.4305
0.54	0.22	3.05	2.1255R 	2.0	12.2887
0.54	0.24	3.05	3.1780R 	2.0	10.9663
0.54	0.26	3.05	4.3658R 	2.0	 9.7655
0.54	0.28	3.05	5.7119R 	2.0	 8.7862
0.54	0.30	3.05	7.2097R 	2.0	 8.0028
0.54	0.32	3.05	9.1150R 	2.0	 7.2746
0.54	0.34	3.05	0.9037YR	2.0	 6.7177
0.54	0.36	3.05	2.6278YR	2.0	 6.3100
0.54	0.38	3.05	4.1111YR	2.0	 6.0532
0.54	0.40	3.05	5.6457YR	2.0	 5.8867
0.54	0.42	3.05	7.1858YR	2.0	 5.8174
0.54	0.44	3.05	8.7999YR	2.0	 5.8292
0.56	0.22	3.05	2.6957R 	2.0	12.8187
0.56	0.24	3.05	3.7467R 	2.0	11.5169
0.56	0.26	3.05	4.9196R 	2.0	10.3077
0.56	0.28	3.05	6.2116R 	2.0	 9.3620
0.56	0.30	3.05	7.6804R 	2.0	 8.5625
0.56	0.32	3.05	9.3598R 	2.0	 7.8558
0.56	0.34	3.05	1.0059YR	2.0	 7.2978
0.56	0.36	3.05	2.6001YR	2.0	 6.8728
0.56	0.38	3.05	3.9548YR	2.0	 6.6087
0.56	0.40	3.05	5.3047YR	2.0	 6.4328
0.56	0.42	3.05	6.6820YR	2.0	 6.3691
0.58	0.24	3.05	4.2873R 	2.0	12.0581
0.58	0.26	3.05	5.4406R 	2.0	10.9008
0.58	0.28	3.05	6.6626R 	2.0	 9.9184
0.58	0.30	3.05	8.1375R 	2.0	 9.1274
0.58	0.32	3.05	9.7159R 	2.0	 8.4431
0.58	0.34	3.05	1.1013YR	2.0	 7.8731
0.58	0.36	3.05	2.5767YR	2.0	 7.4358
0.58	0.38	3.05	3.8266YR	2.0	 7.1645
0.58	0.40	3.05	5.0571YR	2.0	 6.9646
0.60	0.24	3.05	4.8249R 	2.0	12.5693
0.60	0.26	3.05	5.9440R 	2.0	11.4751
0.60	0.28	3.05	7.1556R 	2.0	10.4758
0.60	0.30	3.05	8.5657R 	2.0	 9.7025
0.60	0.32	3.05	0.0901YR	2.0	 9.0314
0.60	0.34	3.05	1.3134YR	2.0	 8.4774
0.60	0.36	3.05	2.5559YR	2.0	 7.9992
0.60	0.38	3.05	3.7075YR	2.0	 7.7243
0.62	0.26	3.05	6.4380R 	2.0	12.0224
0.62	0.28	3.05	7.6454R 	2.0	11.0427
0.62	0.30	3.05	9.0418R 	2.0	10.2826
0.62	0.32	3.05	0.3725YR	2.0	 9.6336
0.62	0.34	3.05	1.5447YR	2.0	 9.0863
0.62	0.36	3.05	2.6855YR	2.0	 8.6293
0.64	0.28	3.05	8.1836R 	2.0	11.6244
0.64	0.30	3.05	9.5716R 	2.0	10.8531
0.64	0.32	3.05	0.6527YR	2.0	10.2477
0.64	0.34	3.05	1.7500YR	2.0	 9.6955
0.64	0.36	3.05	2.7893YR	2.0	 9.2664
0.66	0.28	3.05	8.7278R 	2.0	12.1970
0.66	0.30	3.05	0.0568YR	2.0	11.4166
0.66	0.32	3.05	0.9460YR	2.0	10.8508
0.68	0.30	3.05	0.3536YR	2.0	12.0203
0.10	0.18	6.39	3.8441B 	3.0	12.1326
0.10	0.20	6.39	2.2745B 	3.0	11.9106
0.10	0.22	6.39	0.6207B 	3.0	12.0610
0.10	0.24	6.39	9.2380BG	3.0	12.2619
0.10	0.26	6.39	7.9855BG	3.0	12.6086
0.10	0.28	6.39	6.6192BG	3.0	13.0350
0.10	0.30	6.39	5.2610BG	3.0	13.3785
0.10	0.32	6.39	4.3166BG	3.0	13.7326
0.10	0.34	6.39	3.4974BG	3.0	14.0640
0.10	0.36	6.39	2.7036BG	3.0	14.4036
0.10	0.38	6.39	1.8603BG	3.0	14.7351
0.10	0.40	6.39	1.0141BG	3.0	15.0333
0.10	0.42	6.39	0.1970BG	3.0	15.2997
0.10	0.44	6.39	9.3291G 	3.0	15.5837
0.10	0.46	6.39	8.4681G 	3.0	15.8685
0.10	0.48	6.39	7.6320G 	3.0	16.1598
0.10	0.50	6.39	6.8684G 	3.0	16.4173
0.10	0.52	6.39	6.1276G 	3.0	16.6580
0.10	0.54	6.39	5.3960G 	3.0	16.8848
0.10	0.56	6.39	4.8191G 	3.0	17.1219
0.10	0.58	6.39	4.4263G 	3.0	17.3668
0.10	0.60	6.39	4.0383G 	3.0	17.5865
0.10	0.62	6.39	3.6586G 	3.0	17.7925
0.10	0.64	6.39	3.2799G 	3.0	17.9755
0.10	0.66	6.39	2.9043G 	3.0	18.1332
0.10	0.68	6.39	2.5372G 	3.0	18.2853
0.10	0.70	6.39	2.2993G 	3.0	18.3784
0.12	0.12	6.39	2.1171PB	3.0	14.3654
0.12	0.14	6.39	0.2893PB	3.0	12.5836
0.12	0.16	6.39	7.6598B 	3.0	11.4062
0.12	0.18	6.39	5.3111B 	3.0	10.6362
0.12	0.20	6.39	3.5538B 	3.0	10.2826
0.12	0.22	6.39	1.7591B 	3.0	10.2128
0.12	0.24	6.39	9.8904BG	3.0	10.4442
0.12	0.26	6.39	8.5306BG	3.0	10.7126
0.12	0.28	6.39	7.0650BG	3.0	11.1578
0.12	0.30	6.39	5.5737BG	3.0	11.5272
0.12	0.32	6.39	4.4184BG	3.0	11.9051
0.12	0.34	6.39	3.5014BG	3.0	12.3114
0.12	0.36	6.39	2.6291BG	3.0	12.6895
0.12	0.38	6.39	1.6916BG	3.0	13.0588
0.12	0.40	6.39	0.7754BG	3.0	13.4029
0.12	0.42	6.39	9.8808G 	3.0	13.7233
0.12	0.44	6.39	8.9175G 	3.0	14.0358
0.12	0.46	6.39	7.9825G 	3.0	14.3516
0.12	0.48	6.39	7.1241G 	3.0	14.6611
0.12	0.50	6.39	6.3351G 	3.0	14.9454
0.12	0.52	6.39	5.5634G 	3.0	15.2090
0.12	0.54	6.39	4.8861G 	3.0	15.4669
0.12	0.56	6.39	4.4617G 	3.0	15.7558
0.12	0.58	6.39	4.0514G 	3.0	16.0324
0.12	0.60	6.39	3.6481G 	3.0	16.3018
0.12	0.62	6.39	3.2478G 	3.0	16.5411
0.12	0.64	6.39	2.8573G 	3.0	16.7663
0.12	0.66	6.39	2.4851G 	3.0	16.9767
0.12	0.68	6.39	2.2536G 	3.0	17.1360
0.12	0.70	6.39	2.0352G 	3.0	17.3157
0.14	0.10	6.39	5.5225PB	3.0	16.3600
0.14	0.12	6.39	4.4623PB	3.0	13.8919
0.14	0.14	6.39	2.4738PB	3.0	11.9535
0.14	0.16	6.39	0.4372PB	3.0	10.5689
0.14	0.18	6.39	7.6644B 	3.0	 9.5713
0.14	0.20	6.39	5.0815B 	3.0	 8.9609
0.14	0.22	6.39	3.0872B 	3.0	 8.7794
0.14	0.24	6.39	1.0030B 	3.0	 8.8787
0.14	0.26	6.39	9.1674BG	3.0	 9.1091
0.14	0.28	6.39	7.5591BG	3.0	 9.4780
0.14	0.30	6.39	5.9184BG	3.0	 9.8575
0.14	0.32	6.39	4.5328BG	3.0	10.2831
0.14	0.34	6.39	3.4857BG	3.0	10.7380
0.14	0.36	6.39	2.5120BG	3.0	11.1511
