Description:
The Munsell renotation [Newhall1943, Table I] expresses Munsell colours, when
illuminated by illuminant C, in xyY coordinates.  This file contains an inverse
table, that converts xyY coordinates into Munsell notation.  The xy chromaticity
values in this file were chosen to lie on Cartestian grid points, and the values
of Y were chosen to correspond to integer Munsell values.  Each row of the file
was generated by a call to the routine xyYToMunsell.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  The file xyYToMunsell.m contains a detailed description of
the inversion algorithm, and a complete discussion appears in [Centore2012].
Those wishing to perform further conversions from Munsell to xyY coordinates
can either use routine xyYToMunsell.m directly, or write an interpolation routine
using the data in this file.  The second method is likely faster, but would not
be any more accurate than the first method.
The data in this file were produced in January 2011, and supersede an earlier version
produced in September 2010.  The
inversion algorithm used here, from [Centore2012] is slightly different from the algorithm
used then.

[Centore2012] Paul Centore, "An Open Source Inversion Algorithm for the Munsell Renotation,"
        Color Research & Application, 2012, to appear.  This paper is currently 
	available at www.99main.com/~centore
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  x	  y	  Y	   H    	 V	   C
0.18	0.30	1.18	5.3074BG	1.0	 3.8568
0.18	0.32	1.18	3.8312BG	1.0	 4.0402
0.18	0.34	1.18	2.5661BG	1.0	 4.2231
0.18	0.36	1.18	1.2609BG	1.0	 4.4277
0.18	0.38	1.18	0.0765BG	1.0	 4.5960
0.18	0.40	1.18	8.7514G 	1.0	 4.7450
0.18	0.42	1.18	7.5213G 	1.0	 4.8782
0.18	0.44	1.18	6.4236G 	1.0	 5.0146
0.18	0.46	1.18	5.4056G 	1.0	 5.1430
0.18	0.48	1.18	4.5783G 	1.0	 5.2806
0.18	0.50	1.18	3.9090G 	1.0	 5.4254
0.18	0.52	1.18	3.2942G 	1.0	 5.5662
0.18	0.54	1.18	2.7270G 	1.0	 5.7041
0.18	0.56	1.18	2.3081G 	1.0	 5.8638
0.18	0.58	1.18	1.9902G 	1.0	 6.0310
0.18	0.60	1.18	1.6711G 	1.0	 6.1504
0.18	0.62	1.18	1.3784G 	1.0	 6.2606
0.18	0.64	1.18	1.1020G 	1.0	 6.3623
0.18	0.66	1.18	0.8417G 	1.0	 6.4577
0.18	0.68	1.18	0.5970G 	1.0	 6.5485
0.18	0.70	1.18	0.3613G 	1.0	 6.6340
0.20	0.10	1.18	9.0456PB	1.0	 9.9872
0.20	0.12	1.18	8.4050PB	1.0	 7.7891
0.20	0.14	1.18	7.5812PB	1.0	 6.1615
0.20	0.16	1.18	6.5962PB	1.0	 5.1457
0.20	0.18	1.18	5.3655PB	1.0	 4.2782
0.20	0.20	1.18	2.8893PB	1.0	 3.6213
0.20	0.22	1.18	9.7521B 	1.0	 3.1562
0.20	0.24	1.18	5.7988B 	1.0	 2.9517
0.20	0.26	1.18	1.7537B 	1.0	 2.9739
0.20	0.28	1.18	8.4678BG	1.0	 3.1120
0.20	0.30	1.18	5.7832BG	1.0	 3.2900
0.20	0.32	1.18	3.8596BG	1.0	 3.4881
0.20	0.34	1.18	2.3951BG	1.0	 3.6908
0.20	0.36	1.18	0.9244BG	1.0	 3.9465
0.20	0.38	1.18	9.5053G 	1.0	 4.1603
0.20	0.40	1.18	7.9970G 	1.0	 4.3335
0.20	0.42	1.18	6.6834G 	1.0	 4.4922
0.20	0.44	1.18	5.5084G 	1.0	 4.6405
0.20	0.46	1.18	4.5472G 	1.0	 4.7913
0.20	0.48	1.18	3.7731G 	1.0	 4.9451
0.20	0.50	1.18	3.0722G 	1.0	 5.0928
0.20	0.52	1.18	2.4602G 	1.0	 5.2392
0.20	0.54	1.18	2.0912G 	1.0	 5.4198
0.20	0.56	1.18	1.7585G 	1.0	 5.5982
0.20	0.58	1.18	1.4545G 	1.0	 5.7776
0.20	0.60	1.18	1.1774G 	1.0	 5.9574
0.20	0.62	1.18	0.8934G 	1.0	 6.0831
0.20	0.64	1.18	0.6175G 	1.0	 6.1848
0.20	0.66	1.18	0.3577G 	1.0	 6.2804
0.20	0.68	1.18	0.1109G 	1.0	 6.3705
0.20	0.70	1.18	9.8869GY	1.0	 6.4741
0.22	0.10	1.18	0.7477P 	1.0	10.6574
0.22	0.12	1.18	0.1797P 	1.0	 8.3381
0.22	0.14	1.18	9.4135PB	1.0	 6.4436
0.22	0.16	1.18	8.4375PB	1.0	 5.1421
0.22	0.18	1.18	7.3015PB	1.0	 4.1183
0.22	0.20	1.18	5.8152PB	1.0	 3.3919
0.22	0.22	1.18	3.2700PB	1.0	 2.8010
0.22	0.24	1.18	9.6592B 	1.0	 2.3977
0.22	0.26	1.18	5.0712B 	1.0	 2.2900
0.22	0.28	1.18	9.8859BG	1.0	 2.4673
0.22	0.30	1.18	6.4964BG	1.0	 2.6993
0.22	0.32	1.18	3.8945BG	1.0	 2.9383
0.22	0.34	1.18	2.0564BG	1.0	 3.1797
0.22	0.36	1.18	0.3471BG	1.0	 3.4473
0.22	0.38	1.18	8.5863G 	1.0	 3.7037
0.22	0.40	1.18	7.0302G 	1.0	 3.9446
0.22	0.42	1.18	5.6645G 	1.0	 4.1355
0.22	0.44	1.18	4.5075G 	1.0	 4.3026
0.22	0.46	1.18	3.5840G 	1.0	 4.4686
0.22	0.48	1.18	2.7823G 	1.0	 4.6252
0.22	0.50	1.18	2.2177G 	1.0	 4.7938
0.22	0.52	1.18	1.8152G 	1.0	 4.9728
0.22	0.54	1.18	1.4517G 	1.0	 5.1515
0.22	0.56	1.18	1.1241G 	1.0	 5.3304
0.22	0.58	1.18	0.8314G 	1.0	 5.5105
0.22	0.60	1.18	0.5600G 	1.0	 5.6894
0.22	0.62	1.18	0.3156G 	1.0	 5.8693
0.22	0.64	1.18	0.0777G 	1.0	 6.0268
0.22	0.66	1.18	9.8417GY	1.0	 6.1361
0.22	0.68	1.18	9.6251GY	1.0	 6.2534
0.22	0.70	1.18	9.4220GY	1.0	 6.3734
0.24	0.10	1.18	2.4225P 	1.0	11.2787
0.24	0.12	1.18	1.9291P 	1.0	 8.8910
0.24	0.14	1.18	1.3508P 	1.0	 6.9481
0.24	0.16	1.18	0.5480P 	1.0	 5.3661
0.24	0.18	1.18	9.4562PB	1.0	 4.1259
0.24	0.20	1.18	8.1419PB	1.0	 3.2490
0.24	0.22	1.18	6.4357PB	1.0	 2.5345
0.24	0.24	1.18	3.7671PB	1.0	 1.9805
0.24	0.26	1.18	9.1366B 	1.0	 1.7543
0.24	0.28	1.18	3.1434B 	1.0	 1.7788
0.24	0.30	1.18	7.7650BG	1.0	 2.0624
0.24	0.32	1.18	3.9401BG	1.0	 2.3865
0.24	0.34	1.18	1.5431BG	1.0	 2.6777
0.24	0.36	1.18	9.3599G 	1.0	 2.9645
0.24	0.38	1.18	7.2495G 	1.0	 3.2318
0.24	0.40	1.18	5.6133G 	1.0	 3.4891
0.24	0.42	1.18	4.3326G 	1.0	 3.7448
0.24	0.44	1.18	3.3252G 	1.0	 3.9989
0.24	0.46	1.18	2.4192G 	1.0	 4.1709
0.24	0.48	1.18	1.8965G 	1.0	 4.3472
0.24	0.50	1.18	1.4425G 	1.0	 4.5244
0.24	0.52	1.18	1.0497G 	1.0	 4.7035
0.24	0.54	1.18	0.6970G 	1.0	 4.8819
0.24	0.56	1.18	0.3843G 	1.0	 5.0611
0.24	0.58	1.18	0.1044G 	1.0	 5.2406
0.24	0.60	1.18	9.8773GY	1.0	 5.4331
0.24	0.62	1.18	9.6846GY	1.0	 5.6348
0.24	0.64	1.18	9.5054GY	1.0	 5.8373
0.24	0.66	1.18	9.3271GY	1.0	 6.0234
0.24	0.68	1.18	9.1239GY	1.0	 6.1438
0.24	0.70	1.18	8.9298GY	1.0	 6.2675
0.26	0.10	1.18	4.3519P 	1.0	11.8727
0.26	0.12	1.18	3.9207P 	1.0	 9.4829
0.26	0.14	1.18	3.3665P 	1.0	 7.4349
0.26	0.16	1.18	2.7164P 	1.0	 5.7766
0.26	0.18	1.18	1.9546P 	1.0	 4.3944
0.26	0.20	1.18	0.8668P 	1.0	 3.2892
0.26	0.22	1.18	9.3762PB	1.0	 2.3731
0.26	0.24	1.18	7.4001PB	1.0	 1.7928
0.26	0.26	1.18	4.2512PB	1.0	 1.4413
0.26	0.28	1.18	7.5711B 	1.0	 1.2368
0.26	0.30	1.18	9.1362BG	1.0	 1.4001
0.26	0.32	1.18	3.9372BG	1.0	 1.7941
0.26	0.34	1.18	0.6946BG	1.0	 2.1932
0.26	0.36	1.18	7.6542G 	1.0	 2.5108
0.26	0.38	1.18	5.4162G 	1.0	 2.7977
0.26	0.40	1.18	3.8099G 	1.0	 3.0745
0.26	0.42	1.18	2.5792G 	1.0	 3.3395
0.26	0.44	1.18	1.9178G 	1.0	 3.6013
0.26	0.46	1.18	1.3877G 	1.0	 3.8543
0.26	0.48	1.18	0.9306G 	1.0	 4.0755
0.26	0.50	1.18	0.4950G 	1.0	 4.2527
0.26	0.52	1.18	0.1217G 	1.0	 4.4313
0.26	0.54	1.18	9.8476GY	1.0	 4.6234
0.26	0.56	1.18	9.6186GY	1.0	 4.8222
0.26	0.58	1.18	9.4103GY	1.0	 5.0226
0.26	0.60	1.18	9.2195GY	1.0	 5.2243
0.26	0.62	1.18	9.0441GY	1.0	 5.4270
0.26	0.64	1.18	8.8816GY	1.0	 5.6306
0.26	0.66	1.18	8.7314GY	1.0	 5.8350
0.26	0.68	1.18	8.5830GY	1.0	 6.0245
0.26	0.70	1.18	8.4073GY	1.0	 6.1519
0.28	0.10	1.18	6.5669P 	1.0	12.5173
0.28	0.12	1.18	6.2186P 	1.0	10.0334
0.28	0.14	1.18	5.7426P 	1.0	 7.9292
0.28	0.16	1.18	5.1873P 	1.0	 6.2534
0.28	0.18	1.18	4.6227P 	1.0	 4.7896
0.28	0.20	1.18	3.9339P 	1.0	 3.5323
0.28	0.22	1.18	2.9409P 	1.0	 2.4822
0.28	0.24	1.18	1.4759P 	1.0	 1.7419
0.28	0.26	1.18	9.1531PB	1.0	 1.2867
0.28	0.28	1.18	5.1630PB	1.0	 0.9049
0.28	0.30	1.18	3.6393B 	1.0	 0.7570
0.28	0.32	1.18	3.4978BG	1.0	 1.1125
0.28	0.34	1.18	8.4636G 	1.0	 1.6286
0.28	0.36	1.18	5.0501G 	1.0	 2.1165
0.28	0.38	1.18	2.8328G 	1.0	 2.4240
0.28	0.40	1.18	1.6900G 	1.0	 2.7037
0.28	0.42	1.18	0.9516G 	1.0	 2.9692
0.28	0.44	1.18	0.3938G 	1.0	 3.2261
0.28	0.46	1.18	9.9685GY	1.0	 3.4796
0.28	0.48	1.18	9.7233GY	1.0	 3.7451
0.28	0.50	1.18	9.5204GY	1.0	 4.0068
0.28	0.52	1.18	9.2713GY	1.0	 4.2044
0.28	0.54	1.18	9.0490GY	1.0	 4.4040
0.28	0.56	1.18	8.8472GY	1.0	 4.6049
0.28	0.58	1.18	8.6624GY	1.0	 4.8066
0.28	0.60	1.18	8.4940GY	1.0	 5.0096
0.28	0.62	1.18	8.3446GY	1.0	 5.2136
0.28	0.64	1.18	8.2063GY	1.0	 5.4203
0.28	0.66	1.18	8.0793GY	1.0	 5.6268
0.28	0.68	1.18	7.9622GY	1.0	 5.8340
0.28	0.70	1.18	7.8420GY	1.0	 6.0263
0.30	0.10	1.18	8.9644P 	1.0	13.1309
0.30	0.12	1.18	8.7644P 	1.0	10.6526
0.30	0.14	1.18	8.5051P 	1.0	 8.5000
0.30	0.16	1.18	8.2376P 	1.0	 6.7738
0.30	0.18	1.18	7.9553P 	1.0	 5.2585
0.30	0.20	1.18	7.6153P 	1.0	 3.8791
0.30	0.22	1.18	7.1868P 	1.0	 2.8079
0.30	0.24	1.18	6.5317P 	1.0	 1.8746
0.30	0.26	1.18	5.4419P 	1.0	 1.3596
0.30	0.28	1.18	3.5460P 	1.0	 0.8471
0.30	0.30	1.18	7.8860PB	1.0	 0.3770
0.30	0.32	1.18	1.4648BG	1.0	 0.4341
0.30	0.34	1.18	2.7209G 	1.0	 1.0222
0.30	0.36	1.18	0.7143G 	1.0	 1.6428
0.30	0.38	1.18	9.8319GY	1.0	 2.1192
0.30	0.40	1.18	9.3719GY	1.0	 2.3927
0.30	0.42	1.18	9.0638GY	1.0	 2.6609
0.30	0.44	1.18	8.8334GY	1.0	 2.9248
0.30	0.46	1.18	8.6638GY	1.0	 3.1877
0.30	0.48	1.18	8.5255GY	1.0	 3.4484
0.30	0.50	1.18	8.4113GY	1.0	 3.7076
0.30	0.52	1.18	8.3196GY	1.0	 3.9668
0.30	0.54	1.18	8.1465GY	1.0	 4.1759
0.30	0.56	1.18	7.9782GY	1.0	 4.3788
0.30	0.58	1.18	7.8346GY	1.0	 4.5849
0.30	0.60	1.18	7.7007GY	1.0	 4.7909
0.30	0.62	1.18	7.5794GY	1.0	 4.9978
0.30	0.64	1.18	7.4783GY	1.0	 5.2099
0.30	0.66	1.18	7.4106GY	1.0	 5.4352
0.30	0.68	1.18	7.3489GY	1.0	 5.6625
0.32	0.10	1.18	1.0169RP	1.0	13.7445
0.32	0.12	1.18	0.9841RP	1.0	11.2752
0.32	0.14	1.18	0.9580RP	1.0	 9.0817
0.32	0.16	1.18	0.9436RP	1.0	 7.2810
0.32	0.18	1.18	0.9607RP	1.0	 5.7557
0.32	0.20	1.18	1.0320RP	1.0	 4.4000
0.32	0.22	1.18	1.2345RP	1.0	 3.2557
0.32	0.24	1.18	1.5048RP	1.0	 2.2021
0.32	0.26	1.18	2.1804RP	1.0	 1.5828
0.32	0.28	1.18	3.3341RP	1.0	 1.0716
0.32	0.30	1.18	6.5597RP	1.0	 0.5643
0.32	0.32	1.18	6.1229YR	1.0	 0.1511
0.32	0.34	1.18	3.4677GY	1.0	 0.5385
0.32	0.36	1.18	6.0443GY	1.0	 1.1520
0.32	0.38	1.18	6.7836GY	1.0	 1.7755
0.32	0.40	1.18	7.0012GY	1.0	 2.1622
0.32	0.42	1.18	7.0673GY	1.0	 2.4159
0.32	0.44	1.18	7.1162GY	1.0	 2.6708
0.32	0.46	1.18	7.1556GY	1.0	 2.9268
0.32	0.48	1.18	7.1820GY	1.0	 3.1823
0.32	0.50	1.18	7.2026GY	1.0	 3.4379
0.32	0.52	1.18	7.2191GY	1.0	 3.6936
0.32	0.54	1.18	7.2329GY	1.0	 3.9495
0.32	0.56	1.18	7.1730GY	1.0	 4.1774
0.32	0.58	1.18	7.1051GY	1.0	 4.4027
0.32	0.60	1.18	7.0453GY	1.0	 4.6325
0.32	0.62	1.18	6.9942GY	1.0	 4.8639
0.32	0.64	1.18	6.9455GY	1.0	 5.0981
0.32	0.66	1.18	6.9021GY	1.0	 5.3345
