Description:
Draft: This file expresses sRGB colours in the Munsell system.  The first
three columns are the R, G, and B components in the sRGB system, varying
from 0 to 255.  The next three columns are the Munsell hue (H), value (V), and
chroma (C).  4096 conversions were attempted.  Some sRGB colours are beyond
the MacAdam limits, meaning that they cannot be produced as surface colours.
Therefore, those colours are not in the Munsell system.  In addition, colours
near the MacAdam limits are difficult to convert to the Munsell system, so
so sometimes the conversion failed.  In all, 3879 of the 4096 sRGB colours were
successfully converted.

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
 R	 G	 B	  H	  V	  C
85	102	68	6.83GY	 4.02	 3.80
85	102	85	9.96GY	 4.06	 2.68
85	102	102	0.96BG	 4.11	 1.79
85	102	119	8.05B	 4.16	 2.31
85	102	136	3.82PB	 4.23	 4.21
85	102	153	5.85PB	 4.30	 6.32
85	102	170	6.69PB	 4.39	 8.45
85	102	187	7.18PB	 4.48	10.65
85	102	204	7.45PB	 4.58	12.77
85	102	221	7.62PB	 4.69	14.83
85	102	238	7.72PB	 4.80	16.82
85	102	255	7.77PB	 4.93	18.69
85	119	0	5.90GY	 4.49	 8.82
85	119	17	6.08GY	 4.50	 8.36
85	119	34	6.42GY	 4.51	 7.64
85	119	51	7.03GY	 4.52	 6.68
85	119	68	8.12GY	 4.55	 5.61
85	119	85	0.11G	 4.58	 4.57
85	119	102	3.41G	 4.62	 3.59
85	119	119	3.28BG	 4.66	 2.94
85	119	136	3.97B	 4.72	 3.23
85	119	153	0.58PB	 4.78	 4.79
85	119	170	3.70PB	 4.86	 6.72
85	119	187	5.44PB	 4.94	 8.83
85	119	204	6.23PB	 5.02	10.98
85	119	221	6.73PB	 5.12	12.92
85	119	238	7.08PB	 5.22	14.78
85	119	255	7.33PB	 5.33	16.55
85	136	0	6.91GY	 5.03	10.29
85	136	17	7.08GY	 5.03	 9.88
85	136	34	7.38GY	 5.04	 9.26
85	136	51	7.92GY	 5.06	 8.45
85	136	68	8.83GY	 5.08	 7.49
85	136	85	0.20G	 5.10	 6.48
85	136	102	1.91G	 5.14	 5.43
85	136	119	6.29G	 5.18	 4.56
85	136	136	4.19BG	 5.23	 4.02
85	136	153	2.12B	 5.28	 4.18
85	136	170	8.10B	 5.34	 5.39
85	136	187	1.71PB	 5.42	 7.12
85	136	204	3.94PB	 5.49	 9.02
85	136	221	5.37PB	 5.58	10.96
85	136	238	6.05PB	 5.67	12.82
85	136	255	6.55PB	 5.77	14.56
85	153	0	7.56GY	 5.57	11.47
85	153	17	7.71GY	 5.58	11.17
85	153	34	7.99GY	 5.59	10.66
85	153	51	8.47GY	 5.60	 9.93
85	153	68	9.19GY	 5.61	 9.05
85	153	85	0.21G	 5.64	 8.09
85	153	102	1.36G	 5.67	 7.07
85	153	119	3.59G	 5.70	 6.24
85	153	136	8.29G	 5.74	 5.43
85	153	153	4.69BG	 5.79	 4.95
85	153	170	1.11B	 5.85	 5.04
85	153	187	6.47B	 5.91	 6.01
85	153	204	0.21PB	 5.98	 7.60
85	153	221	2.47PB	 6.06	 9.36
85	153	238	4.34PB	 6.14	11.08
85	153	255	5.44PB	 6.23	12.73
85	170	0	8.10GY	 6.12	12.94
85	170	17	8.22GY	 6.12	12.68
85	170	34	8.46GY	 6.13	12.22
85	170	51	8.84GY	 6.14	11.55
85	170	68	9.44GY	 6.16	10.71
85	170	85	0.21G	 6.18	 9.78
85	170	102	1.08G	 6.20	 8.76
85	170	119	2.42G	 6.23	 7.91
85	170	136	4.81G	 6.27	 7.04
85	170	153	9.72G	 6.31	 6.34
85	170	170	5.09BG	 6.36	 5.89
85	170	187	0.51B	 6.42	 5.89
85	170	204	5.12B	 6.48	 6.60
85	170	221	8.87B	 6.55	 7.95
85	170	238	1.36PB	 6.62	 9.49
85	170	255	3.18PB	 6.70	11.02
85	187	0	8.50GY	 6.67	14.19
85	187	17	8.60GY	 6.67	13.94
85	187	34	8.79GY	 6.68	13.54
85	187	51	9.10GY	 6.69	12.94
85	187	68	9.60GY	 6.70	12.19
85	187	85	0.20G	 6.72	11.32
85	187	102	0.89G	 6.74	10.38
85	187	119	1.88G	 6.77	 9.46
85	187	136	3.48G	 6.80	 8.69
85	187	153	6.13G	 6.84	 7.92
85	187	170	0.82BG	 6.88	 7.24
85	187	187	5.51BG	 6.93	 6.87
85	187	204	0.19B	 6.99	 6.85
85	187	221	4.35B	 7.05	 7.34
85	187	238	7.80B	 7.12	 8.33
85	187	255	0.41PB	 7.19	 9.61
85	204	0	8.81GY	 7.22	15.50
85	204	17	8.89GY	 7.22	15.28
85	204	34	9.05GY	 7.23	14.89
85	204	51	9.32GY	 7.23	14.32
85	204	68	9.72GY	 7.25	13.60
85	204	85	0.23G	 7.26	12.80
85	204	102	0.79G	 7.28	11.90
85	204	119	1.57G	 7.31	10.98
85	204	136	2.66G	 7.34	10.14
85	204	153	4.28G	 7.37	 9.31
85	204	170	7.27G	 7.41	 8.55
85	204	187	1.71BG	 7.45	 7.92
85	204	204	5.81BG	 7.50	 7.52
85	204	221	10.00BG	 7.56	 7.41
85	204	238	3.80B	 7.62	 7.74
85	204	255	6.89B	 7.68	 8.47
85	221	0	9.03GY	 7.76	16.59
85	221	17	9.10GY	 7.77	16.39
85	221	34	9.24GY	 7.77	16.03
85	221	51	9.46GY	 7.78	15.51
85	221	68	9.79GY	 7.79	14.84
85	221	85	0.24G	 7.80	14.16
85	221	102	0.76G	 7.82	13.41
85	221	119	1.40G	 7.84	12.51
85	221	136	2.19G	 7.87	11.53
85	221	153	3.38G	 7.90	10.70
85	221	170	4.91G	 7.94	 9.85
85	221	187	8.25G	 7.98	 9.17
85	221	204	2.44BG	 8.02	 8.58
85	221	221	6.09BG	 8.07	 8.10
85	221	238	10.00BG	 8.13	 7.93
85	221	255	3.44B	 8.18	 8.11
85	238	0	9.21GY	 8.31	17.51
85	238	17	9.27GY	 8.31	17.33
85	238	34	9.38GY	 8.31	17.01
85	238	51	9.57GY	 8.32	16.53
85	238	68	9.86GY	 8.33	15.90
85	238	85	0.21G	 8.34	15.24
85	238	102	0.65G	 8.36	14.53
85	238	119	1.20G	 8.38	13.71
85	238	136	1.86G	 8.40	12.78
85	238	153	2.75G	 8.43	11.83
85	238	170	3.96G	 8.46	11.00
85	238	187	5.81G	 8.50	10.18
85	238	204	9.07G	 8.54	 9.50
85	238	221	2.91BG	 8.58	 8.88
85	238	238	6.35BG	 8.63	 8.39
85	238	255	0.03B	 8.69	 8.19
85	255	0	9.35GY	 8.84	18.32
85	255	17	9.41GY	 8.85	18.14
85	255	34	9.51GY	 8.85	17.84
85	255	51	9.67GY	 8.86	17.39
85	255	68	9.91GY	 8.86	16.81
85	255	85	0.20G	 8.88	16.17
85	255	102	0.55G	 8.89	15.45
85	255	119	1.01G	 8.91	14.65
85	255	136	1.58G	 8.93	13.80
85	255	153	2.32G	 8.95	12.96
85	255	170	3.30G	 8.98	12.16
85	255	187	4.45G	 9.02	11.41
85	255	204	6.60G	 9.05	10.95
85	255	221	9.64G	 9.09	10.74
85	255	238	3.19BG	 9.14	10.57
85	255	255	6.37BG	 9.19	10.69
102	0	0	1.54YR	 1.91	 9.55
102	0	17	9.81R	 1.93	 9.16
102	0	34	6.20R	 1.96	 8.91
102	0	51	1.70R	 2.01	 9.14
102	0	68	6.79RP	 2.08	 9.69
102	0	85	2.58RP	 2.16	10.58
102	0	102	9.66P	 2.27	11.73
102	0	119	6.56P	 2.39	13.15
102	0	136	4.24P	 2.53	14.74
102	0	153	2.56P	 2.68	16.46
102	0	170	1.47P	 2.84	18.31
102	0	187	0.68P	 3.01	20.27
102	0	204	0.05P	 3.18	21.91
102	0	221	9.52PB	 3.36	23.47
102	0	238	9.13PB	 3.54	25.11
102	0	255	8.83PB	 3.73	26.87
102	17	0	2.02YR	 2.07	 8.82
102	17	17	0.39YR	 2.08	 8.38
102	17	34	6.90R	 2.11	 8.01
102	17	51	2.31R	 2.16	 7.98
102	17	68	7.08RP	 2.22	 8.55
102	17	85	2.62RP	 2.30	 9.45
102	17	102	9.55P	 2.40	10.68
102	17	119	6.44P	 2.52	12.15
102	17	136	4.13P	 2.65	13.84
102	17	153	2.48P	 2.79	15.67
102	17	170	1.43P	 2.94	17.63
102	17	187	0.64P	 3.10	19.53
102	17	221	9.50PB	 3.44	22.93
102	17	238	9.12PB	 3.61	24.64
102	17	255	8.84PB	 3.80	26.42
102	34	0	3.54YR	 2.33	 7.60
102	34	17	2.25YR	 2.35	 7.07
102	34	34	9.22R	 2.37	 6.53
102	34	51	3.81R	 2.41	 6.38
102	34	68	7.81RP	 2.47	 6.82
102	34	85	2.77RP	 2.54	 7.70
102	34	102	9.38P	 2.62	 9.00
102	34	119	6.20P	 2.73	10.64
102	34	136	3.92P	 2.84	12.49
102	34	153	2.34P	 2.97	14.43
102	34	170	1.33P	 3.11	16.30
102	34	187	0.55P	 3.26	18.27
102	34	204	9.95PB	 3.41	20.07
102	34	221	9.47PB	 3.58	21.97
102	34	238	9.11PB	 3.75	23.86
102	34	255	8.83PB	 3.92	25.69
102	51	0	6.65YR	 2.70	 6.70
102	51	17	5.54YR	 2.71	 6.02
102	51	34	3.28YR	 2.73	 5.16
102	51	51	8.10R	 2.76	 4.43
102	51	68	9.84RP	 2.81	 4.57
102	51	85	3.27RP	 2.87	 5.45
102	51	102	9.14P	 2.94	 6.83
102	51	119	5.81P	 3.03	 8.60
102	51	136	3.54P	 3.13	10.49
102	51	153	2.03P	 3.24	12.58
102	51	170	1.10P	 3.37	14.55
102	51	187	0.38P	 3.50	16.57
102	51	204	9.83PB	 3.64	18.63
102	51	221	9.41PB	 3.79	20.51
102	51	238	9.08PB	 3.95	22.74
102	51	255	8.82PB	 4.11	24.43
102	68	0	1.62Y	 3.13	 6.44
102	68	17	0.89Y	 3.14	 5.72
102	68	34	9.40YR	 3.15	 4.68
102	68	51	6.17YR	 3.18	 3.46
102	68	68	8.50R	 3.22	 2.57
102	68	85	5.59RP	 3.27	 2.96
102	68	102	9.07P	 3.33	 4.20
102	68	119	5.14P	 3.41	 6.12
102	68	136	2.77P	 3.49	 8.22
102	68	153	1.46P	 3.59	10.34
102	68	170	0.67P	 3.70	12.59
102	68	187	0.09P	 3.81	14.76
102	68	204	9.61PB	 3.94	16.98
102	68	221	9.27PB	 4.07	18.90
102	68	238	8.98PB	 4.22	20.65
102	68	255	8.75PB	 4.36	22.56
102	85	0	6.99Y	 3.60	 6.34
102	85	17	6.73Y	 3.61	 5.71
102	85	34	6.16Y	 3.62	 4.75
102	85	51	4.89Y	 3.64	 3.48
102	85	68	2.12Y	 3.68	 2.17
102	85	85	3.13YR	 3.72	 1.11
102	85	102	9.60P	 3.77	 1.72
102	85	119	3.33P	 3.83	 3.59
102	85	136	1.24P	 3.90	 5.90
102	85	153	0.34P	 3.99	 8.26
102	85	170	9.86PB	 4.08	10.49
102	85	187	9.50PB	 4.18	12.65
102	85	204	9.21PB	 4.29	14.76
102	85	221	8.96PB	 4.41	16.76
102	85	238	8.77PB	 4.54	18.66
102	85	255	8.61PB	 4.67	20.50
102	102	0	1.35GY	 4.10	 7.17
102	102	17	1.40GY	 4.10	 6.58
102	102	34	1.51GY	 4.11	 5.65
102	102	51	1.68GY	 4.13	 4.47
102	102	68	1.99GY	 4.16	 3.21
102	102	85	2.80GY	 4.19	 1.94
102	102	102	7.37GY	 4.24	 0.59
102	102	119	5.83PB	 4.29	 1.50
102	102	136	7.64PB	 4.35	 3.71
102	102	153	8.11PB	 4.42	 5.92
102	102	170	8.28PB	 4.51	 8.15
102	102	187	8.39PB	 4.59	10.43
102	102	204	8.42PB	 4.69	12.59
102	102	221	8.43PB	 4.80	14.69
102	102	238	8.41PB	 4.91	16.74
102	102	255	8.36PB	 5.03	18.66
102	119	0	4.10GY	 4.61	 8.20
102	119	17	4.26GY	 4.61	 7.74
102	119	34	4.57GY	 4.62	 7.02
102	119	51	5.11GY	 4.64	 6.01
102	119	68	5.75GY	 4.66	 4.91
102	119	85	6.97GY	 4.69	 3.76
102	119	102	9.97GY	 4.73	 2.63
102	119	119	0.46BG	 4.77	 1.76
102	119	136	7.64B	 4.83	 2.30
102	119	153	3.67PB	 4.89	 4.24
102	119	170	5.77PB	 4.96	 6.31
102	119	187	6.66PB	 5.04	 8.50
102	119	204	7.18PB	 5.12	10.66
102	119	221	7.49PB	 5.22	12.61
102	119	238	7.73PB	 5.32	14.51
102	119	255	7.90PB	 5.43	16.32
102	136	0	5.72GY	 5.13	 9.63
102	136	17	5.84GY	 5.13	 9.25
102	136	34	6.08GY	 5.14	 8.60
102	136	51	6.49GY	 5.16	 7.72
102	136	68	7.17GY	 5.18	 6.70
102	136	85	8.29GY	 5.20	 5.62
102	136	102	0.20G	 5.23	 4.55
102	136	119	3.53G	 5.27	 3.54
102	136	136	3.27BG	 5.32	 2.91
102	136	153	3.80B	 5.37	 3.25
102	136	170	0.38PB	 5.44	 4.78
102	136	187	3.49PB	 5.51	 6.64
102	136	204	5.31PB	 5.58	 8.66
102	136	221	6.15PB	 5.66	10.71
102	136	238	6.70PB	 5.75	12.58
102	136	255	7.09PB	 5.85	14.36
102	153	0	6.66GY	 5.66	10.91
102	153	17	6.78GY	 5.66	10.56
102	153	34	7.02GY	 5.67	 9.97
102	153	51	7.39GY	 5.68	 9.19
102	153	68	8.01GY	 5.70	 8.30
102	153	85	8.95GY	 5.72	 7.32
102	153	102	0.30G	 5.75	 6.32
102	153	119	2.07G	 5.79	 5.30
102	153	136	6.41G	 5.83	 4.41
102	153	153	4.28BG	 5.88	 3.91
102	153	170	2.18B	 5.93	 4.18
102	153	187	7.98B	 5.99	 5.43
102	153	204	1.53PB	 6.06	 7.14
102	153	221	3.71PB	 6.13	 8.97
102	153	238	5.26PB	 6.21	10.76
102	153	255	5.98PB	 6.30	12.45
102	170	0	7.38GY	 6.20	12.22
102	170	17	7.49GY	 6.20	11.92
102	170	34	7.68GY	 6.21	11.47
102	170	51	8.02GY	 6.22	10.80
102	170	68	8.56GY	 6.23	 9.96
102	170	85	9.32GY	 6.25	 9.03
102	170	102	0.34G	 6.28	 8.05
102	170	119	1.53G	 6.31	 7.02
102	170	136	3.79G	 6.34	 6.20
102	170	153	8.46G	 6.39	 5.41
102	170	170	4.82BG	 6.43	 4.97
102	170	187	1.11B	 6.49	 5.08
102	170	204	6.36B	 6.55	 6.00
102	170	221	0.02PB	 6.62	 7.50
102	170	238	2.28PB	 6.69	 9.12
102	170	255	4.12PB	 6.77	10.72
102	187	0	7.92GY	 6.74	13.52
102	187	17	8.01GY	 6.74	13.30
102	187	34	8.18GY	 6.74	12.91
102	187	51	8.47GY	 6.75	12.31
102	187	68	8.91GY	 6.77	11.55
102	187	85	9.56GY	 6.78	10.69
102	187	102	0.33G	 6.81	 9.76
102	187	119	1.25G	 6.83	 8.75
102	187	136	2.67G	 6.87	 7.93
102	187	153	4.96G	 6.91	 7.11
102	187	170	9.97G	 6.95	 6.44
102	187	187	5.34BG	 7.00	 6.11
102	187	204	0.63B	 7.05	 6.09
102	187	221	5.01B	 7.11	 6.67
102	187	238	8.75B	 7.18	 7.88
102	187	255	1.19PB	 7.25	 9.24
102	204	0	8.34GY	 7.28	14.85
102	204	17	8.42GY	 7.28	14.63
102	204	34	8.57GY	 7.29	14.25
102	204	51	8.81GY	 7.29	13.69
102	204	68	9.18GY	 7.31	12.99
102	204	85	9.72GY	 7.32	12.16
102	204	102	0.33G	 7.34	11.27
102	204	119	1.08G	 7.37	10.35
102	204	136	2.10G	 7.40	 9.43
102	204	153	3.70G	 7.43	 8.61
102	204	170	6.43G	 7.47	 7.81
102	204	187	1.08BG	 7.51	 7.18
102	204	204	5.69BG	 7.56	 6.81
102	204	221	0.30B	 7.62	 6.74
102	204	238	4.26B	 7.67	 7.16
102	204	255	7.70B	 7.74	 8.01
102	221	0	8.65GY	 7.82	16.01
102	221	17	8.72GY	 7.82	15.82
102	221	34	8.84GY	 7.83	15.48
102	221	51	9.05GY	 7.83	14.97
102	221	68	9.37GY	 7.84	14.31
102	221	85	9.82GY	 7.86	13.53
102	221	102	0.36G	 7.88	12.75
102	221	119	1.01G	 7.90	11.90
102	221	136	1.81G	 7.92	10.98
102	221	153	2.91G	 7.95	10.09
102	221	170	4.49G	 7.99	 9.21
102	221	187	7.57G	 8.03	 8.47
102	221	204	1.99BG	 8.07	 7.87
102	221	221	6.00BG	 8.12	 7.43
102	221	238	0.18B	 8.18	 7.30
102	221	255	3.78B	 8.23	 7.58
102	238	0	8.89GY	 8.36	16.98
102	238	17	8.95GY	 8.36	16.81
102	238	34	9.06GY	 8.36	16.49
102	238	51	9.24GY	 8.37	16.02
102	238	68	9.51GY	 8.38	15.40
102	238	85	9.88GY	 8.39	14.66
102	238	102	0.34G	 8.41	13.93
102	238	119	0.86G	 8.43	13.09
102	238	136	1.53G	 8.45	12.18
102	238	153	2.36G	 8.48	11.23
102	238	170	3.60G	 8.51	10.42
102	238	187	5.17G	 8.55	 9.54
102	238	204	8.55G	 8.59	 8.84
102	238	221	2.62BG	 8.63	 8.22
102	238	238	6.29BG	 8.68	 7.77
102	238	255	0.17B	 8.73	 7.65
102	255	0	9.09GY	 8.89	17.83
102	255	17	9.14GY	 8.89	17.67
102	255	34	9.23GY	 8.89	17.39
102	255	51	9.39GY	 8.90	16.95
102	255	68	9.62GY	 8.91	16.37
102	255	85	9.94GY	 8.92	15.68
102	255	102	0.29G	 8.93	14.95
102	255	119	0.73G	 8.95	14.14
102	255	136	1.29G	 8.97	13.26
102	255	153	2.00G	 9.00	12.41
102	255	170	2.95G	 9.03	11.85
102	255	187	4.12G	 9.06	11.27
102	255	204	6.02G	 9.09	10.79
102	255	221	9.20G	 9.13	10.58
102	255	238	2.92BG	 9.18	10.45
102	255	255	6.26BG	 9.23	10.61
119	0	0	0.90YR	 2.32	10.61
119	0	17	9.56R	 2.33	10.16
119	0	34	6.71R	 2.36	 9.76
119	0	51	3.02R	 2.40	 9.69
119	0	68	8.92RP	 2.45	10.08
119	0	85	4.94RP	 2.52	10.79
119	0	102	1.83RP	 2.61	11.72
119	0	119	9.40P	 2.71	12.95
119	0	136	6.85P	 2.83	14.53
119	0	153	4.86P	 2.96	16.32
119	0	170	3.26P	 3.10	18.04
119	0	187	2.10P	 3.25	19.78
119	0	204	1.26P	 3.40	21.51
119	0	221	0.61P	 3.57	23.35
119	0	238	0.10P	 3.74	25.15
119	0	255	9.69PB	 3.91	26.92
119	17	0	1.33YR	 2.45	 9.95
119	17	17	0.18YR	 2.46	 9.46
119	17	34	7.32R	 2.48	 9.02
119	17	51	3.46R	 2.52	 8.88
119	17	68	9.14RP	 2.57	 9.22
119	17	85	5.01RP	 2.64	 9.89
119	17	102	1.82RP	 2.72	10.91
119	17	119	9.31P	 2.82	12.13
119	17	136	6.76P	 2.93	13.79
119	17	153	4.79P	 3.05	15.60
119	17	170	3.19P	 3.19	17.34
119	17	187	2.05P	 3.33	19.14
119	17	204	1.24P	 3.48	20.96
119	17	221	0.59P	 3.64	22.89
119	17	238	0.09P	 3.81	24.77
119	17	255	9.68PB	 3.98	26.55
119	34	0	2.34YR	 2.66	 9.00
119	34	17	1.22YR	 2.67	 8.50
119	34	34	8.75R	 2.70	 7.90
119	34	51	4.44R	 2.73	 7.62
119	34	68	9.66RP	 2.78	 7.81
119	34	85	5.18RP	 2.84	 8.49
119	34	102	1.82RP	 2.91	 9.55
119	34	119	9.15P	 3.00	10.91
119	34	136	6.61P	 3.10	12.52
119	34	153	4.64P	 3.22	14.34
119	34	170	3.04P	 3.34	16.13
119	34	187	1.95P	 3.48	18.06
119	34	204	1.17P	 3.62	19.92
119	34	221	0.56P	 3.77	22.07
119	34	238	0.07P	 3.93	24.13
119	34	255	9.66PB	 4.09	25.61
119	51	0	4.28YR	 2.98	 8.30
119	51	17	3.28YR	 2.99	 7.63
119	51	34	1.39YR	 3.00	 6.76
119	51	51	7.15R	 3.03	 6.12
119	51	68	1.33R	 3.07	 6.06
119	51	85	5.99RP	 3.13	 6.57
119	51	102	2.07RP	 3.19	 7.61
119	51	119	9.04P	 3.27	 9.01
119	51	136	6.38P	 3.36	10.76
119	51	153	4.37P	 3.46	12.65
119	51	170	2.81P	 3.58	14.61
119	51	187	1.79P	 3.70	16.64
119	51	204	1.05P	 3.83	18.69
119	51	221	0.47P	 3.97	20.76
119	51	238	10.00P	 4.12	22.77
119	51	255	9.62PB	 4.27	24.25
119	68	0	8.18YR	 3.36	 7.50
119	68	17	7.46YR	 3.37	 6.84
119	68	34	5.92YR	 3.38	 5.85
119	68	51	3.05YR	 3.41	 4.82
119	68	68	7.26R	 3.44	 4.13
119	68	85	8.84RP	 3.49	 4.41
119	68	102	2.90RP	 3.54	 5.32
119	68	119	8.93P	 3.61	 6.81
119	68	136	6.00P	 3.69	 8.70
119	68	153	3.93P	 3.78	10.72
119	68	170	2.43P	 3.88	12.84
119	68	187	1.54P	 3.99	15.04
119	68	204	0.82P	 4.11	16.99
119	68	221	0.30P	 4.24	18.85
119	68	238	9.87PB	 4.37	20.65
119	68	255	9.52PB	 4.51	22.51
119	85	0	2.83Y	 3.79	 7.11
119	85	17	2.37Y	 3.80	 6.47
119	85	34	1.51Y	 3.81	 5.52
119	85	51	9.80YR	 3.83	 4.31
119	85	68	6.47YR	 3.86	 3.21
119	85	85	8.80R	 3.90	 2.56
119	85	102	5.35RP	 3.95	 3.06
119	85	119	8.91P	 4.01	 4.43
119	85	136	5.38P	 4.08	 6.37
119	85	153	3.12P	 4.15	 8.44
119	85	170	1.80P	 4.24	10.55
119	85	187	0.98P	 4.34	12.61
119	85	204	0.43P	 4.45	14.67
119	85	221	10.00PB	 4.56	16.74
119	85	238	9.65PB	 4.68	18.74
119	85	255	9.37PB	 4.81	20.58
119	102	0	7.54Y	 4.26	 7.21
119	102	17	7.37Y	 4.26	 6.62
119	102	34	7.04Y	 4.27	 5.69
119	102	51	6.40Y	 4.29	 4.56
119	102	68	5.10Y	 4.32	 3.31
119	102	85	2.45Y	 4.35	 2.08
119	102	102	3.92YR	 4.39	 1.11
119	102	119	9.65P	 4.44	 1.78
119	102	136	3.49P	 4.50	 3.64
119	102	153	1.44P	 4.57	 5.82
119	102	170	0.53P	 4.65	 8.04
119	102	187	0.01P	 4.73	10.33
119	102	204	9.69PB	 4.83	12.51
119	102	221	9.47PB	 4.93	14.63
119	102	238	9.29PB	 5.04	16.68
119	102	255	9.09PB	 5.15	18.55
119	119	0	1.42GY	 4.75	 7.82
119	119	17	1.45GY	 4.75	 7.38
119	119	34	1.52GY	 4.76	 6.61
119	119	51	1.65GY	 4.77	 5.57
119	119	68	1.86GY	 4.80	 4.42
119	119	85	2.23GY	 4.82	 3.19
119	119	102	3.20GY	 4.86	 1.93
119	119	119	7.64GY	 4.90	 0.64
119	119	136	5.41PB	 4.96	 1.52
119	119	153	7.72PB	 5.02	 3.81
119	119	170	8.17PB	 5.08	 5.91
119	119	187	8.36PB	 5.16	 8.15
119	119	204	8.48PB	 5.24	10.40
119	119	221	8.54PB	 5.33	12.40
119	119	238	8.59PB	 5.43	14.32
119	119	255	8.62PB	 5.54	16.10
119	136	0	3.95GY	 5.25	 9.02
119	136	17	4.06GY	 5.25	 8.59
119	136	34	4.29GY	 5.26	 7.89
119	136	51	4.67GY	 5.27	 7.03
119	136	68	5.22GY	 5.29	 5.99
119	136	85	5.89GY	 5.32	 4.88
119	136	102	7.14GY	 5.35	 3.73
119	136	119	9.99GY	 5.39	 2.56
119	136	136	9.88G	 5.43	 1.73
119	136	153	7.24B	 5.49	 2.28
119	136	170	3.49PB	 5.55	 4.22
119	136	187	5.67PB	 5.61	 6.17
119	136	204	6.61PB	 5.69	 8.34
119	136	221	7.17PB	 5.77	10.47
119	136	238	7.53PB	 5.86	12.34
119	136	255	7.80PB	 5.95	14.18
119	153	0	5.54GY	 5.76	10.23
119	153	17	5.63GY	 5.77	 9.88
119	153	34	5.79GY	 5.77	 9.35
119	153	51	6.09GY	 5.79	 8.55
119	153	68	6.57GY	 5.80	 7.61
119	153	85	7.29GY	 5.82	 6.60
119	153	102	8.44GY	 5.85	 5.53
119	153	119	0.32G	 5.89	 4.44
119	153	136	3.59G	 5.93	 3.41
119	153	153	3.21BG	 5.97	 2.83
119	153	170	3.72B	 6.03	 3.26
119	153	187	0.26PB	 6.09	 4.81
119	153	204	3.35PB	 6.15	 6.62
119	153	221	5.21PB	 6.23	 8.54
119	153	238	6.09PB	 6.30	10.45
119	153	255	6.67PB	 6.39	12.15
119	170	0	6.48GY	 6.29	11.62
119	170	17	6.56GY	 6.29	11.33
119	170	34	6.72GY	 6.30	10.82
119	170	51	7.02GY	 6.31	10.07
119	170	68	7.46GY	 6.32	 9.20
119	170	85	8.11GY	 6.34	 8.26
119	170	102	9.07GY	 6.37	 7.26
119	170	119	0.40G	 6.40	 6.25
119	170	136	2.19G	 6.43	 5.23
119	170	153	6.47G	 6.47	 4.37
119	170	170	4.33BG	 6.52	 3.91
119	170	187	2.05B	 6.58	 4.14
119	170	204	7.91B	 6.63	 5.36
119	170	221	1.39PB	 6.70	 7.03
119	170	238	3.58PB	 6.77	 8.74
119	170	255	5.17PB	 6.85	10.38
119	187	0	7.20GY	 6.82	12.89
119	187	17	7.28GY	 6.82	12.64
119	187	34	7.43GY	 6.83	12.20
119	187	51	7.69GY	 6.84	11.60
119	187	68	8.07GY	 6.85	10.85
119	187	85	8.64GY	 6.87	 9.98
119	187	102	9.44GY	 6.89	 9.05
119	187	119	0.45G	 6.91	 8.06
119	187	136	1.68G	 6.95	 7.05
119	187	153	3.93G	 6.98	 6.26
119	187	170	8.64G	 7.03	 5.50
119	187	187	4.99BG	 7.07	 5.07
119	187	204	1.16B	 7.13	 5.15
119	187	221	6.27B	 7.19	 5.99
119	187	238	9.90B	 7.25	 7.35
119	187	255	2.18PB	 7.32	 8.83
119	204	0	7.76GY	 7.35	14.04
119	204	17	7.83GY	 7.35	13.85
119	204	34	7.96GY	 7.36	13.51
119	204	51	8.18GY	 7.37	12.99
119	204	68	8.52GY	 7.38	12.30
119	204	85	9.00GY	 7.39	11.47
119	204	102	9.66GY	 7.41	10.58
119	204	119	0.46G	 7.44	 9.65
119	204	136	1.42G	 7.47	 8.68
119	204	153	2.86G	 7.50	 7.79
119	204	170	5.18G	 7.54	 6.92
119	204	187	0.11BG	 7.58	 6.30
119	204	204	5.49BG	 7.63	 5.96
119	204	221	0.71B	 7.68	 5.93
119	204	238	4.87B	 7.74	 6.50
119	204	255	8.63B	 7.81	 7.55
119	221	0	8.18GY	 7.88	15.34
119	221	17	8.24GY	 7.89	15.16
119	221	34	8.35GY	 7.89	14.83
119	221	51	8.55GY	 7.90	14.32
119	221	68	8.85GY	 7.91	13.67
119	221	85	9.26GY	 7.92	12.90
119	221	102	9.83GY	 7.94	12.05
119	221	119	0.49G	 7.96	11.21
119	221	136	1.31G	 7.99	10.35
119	221	153	2.30G	 8.02	 9.36
119	221	170	3.88G	 8.05	 8.45
119	221	187	6.67G	 8.09	 7.63
119	221	204	1.28BG	 8.14	 7.04
119	221	221	5.86BG	 8.18	 6.65
119	221	238	0.44B	 8.24	 6.56
119	221	255	4.23B	 8.29	 6.97
119	238	0	8.50GY	 8.41	16.34
119	238	17	8.55GY	 8.42	16.17
119	238	34	8.65GY	 8.42	15.87
119	238	51	8.82GY	 8.43	15.41
119	238	68	9.07GY	 8.44	14.81
119	238	85	9.43GY	 8.45	14.08
119	238	102	9.90GY	 8.47	13.25
119	238	119	0.44G	 8.49	12.41
119	238	136	1.09G	 8.51	11.51
