Description:
Draft: This file expresses sRGB colours in the Munsell system.  The first
three columns are the R, G, and B components in the sRGB system, varying
from 0 to 255.  The next three columns are the Munsell hue (H), value (V), and
chroma (C).  4096 conversions were attempted.  Some sRGB colours are beyond
the MacAdam limits, meaning that they cannot be produced as surface colours.
Therefore, those colours are not in the Munsell system.  In addition, colours
near the MacAdam limits are difficult to convert to the Munsell system, so
so sometimes the conversion failed.  In all, 3879 of the 4096 sRGB colours were
successfully converted.

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
 R	 G	 B	  H	  V	  C
0	221	17	9.91GY	 7.65	17.61
0	221	34	0.05G	 7.65	17.29
0	221	51	0.28G	 7.66	16.91
0	221	68	0.59G	 7.67	16.39
0	221	85	1.01G	 7.69	15.72
0	221	102	1.53G	 7.70	14.93
0	221	119	2.16G	 7.73	14.03
0	221	136	3.06G	 7.75	13.07
0	221	153	4.25G	 7.79	12.19
0	221	170	6.26G	 7.82	11.36
0	221	187	9.46G	 7.86	10.71
0	221	204	3.04BG	 7.91	10.12
0	221	221	6.24BG	 7.96	 9.68
0	221	238	9.62BG	 8.02	 9.40
0	221	255	2.70B	 8.08	 9.38
0	238	0	9.89GY	 8.20	18.65
0	238	17	9.96GY	 8.20	18.46
0	238	34	0.07G	 8.21	18.19
0	238	51	0.26G	 8.21	17.83
0	238	68	0.52G	 8.22	17.32
0	238	85	0.87G	 8.24	16.69
0	238	102	1.32G	 8.25	15.96
0	238	119	1.86G	 8.27	15.10
0	238	136	2.54G	 8.30	14.20
0	238	153	3.51G	 8.33	13.34
0	238	170	4.64G	 8.36	12.39
0	238	187	6.98G	 8.40	11.56
0	238	204	9.99G	 8.44	10.93
0	238	221	3.40BG	 8.48	10.32
0	238	238	6.45BG	 8.53	 9.84
0	238	255	9.67BG	 8.59	 9.46
0	255	0	9.92GY	 8.75	19.39
0	255	17	9.98GY	 8.75	19.21
0	255	34	0.07G	 8.75	18.93
0	255	51	0.22G	 8.76	18.53
0	255	68	0.45G	 8.77	17.99
0	255	85	0.74G	 8.78	17.37
0	255	102	1.11G	 8.80	16.66
0	255	119	1.60G	 8.81	15.90
0	255	136	2.19G	 8.84	15.06
0	255	153	2.97G	 8.86	14.29
0	255	170	3.91G	 8.89	13.45
0	255	187	5.00G	 8.92	12.47
0	255	204	7.64G	 8.96	11.69
0	255	221	0.52BG	 9.00	11.09
0	255	238	3.70BG	 9.05	10.86
0	255	255	6.58BG	 9.10	10.90
17	34	0	5.78GY	 1.06	 3.84
17	34	17	8.21GY	 1.09	 2.91
17	34	34	2.51BG	 1.14	 2.04
17	34	51	0.40PB	 1.22	 2.47
17	34	68	5.26PB	 1.33	 4.62
17	34	85	6.22PB	 1.47	 6.78
17	34	102	6.57PB	 1.63	 8.94
17	34	119	6.74PB	 1.81	11.23
17	34	153	6.85PB	 2.19	15.38
17	51	0	7.05GY	 1.76	 5.70
17	51	17	8.46GY	 1.78	 4.89
17	51	34	2.00G	 1.81	 4.01
17	51	51	3.16BG	 1.87	 3.20
17	51	68	5.69B	 1.94	 3.37
17	51	85	2.41PB	 2.04	 4.98
17	51	102	5.25PB	 2.15	 6.89
17	51	119	6.05PB	 2.28	 8.92
17	51	136	6.43PB	 2.43	11.02
17	51	153	6.64PB	 2.58	13.12
17	51	170	6.77PB	 2.75	15.14
17	51	204	6.92PB	 3.10	19.33
17	51	221	6.95PB	 3.29	21.17
17	68	0	7.88GY	 2.42	 7.44
17	68	17	8.84GY	 2.44	 6.87
17	68	34	0.63G	 2.46	 5.99
17	68	51	4.56G	 2.50	 4.82
17	68	68	3.63BG	 2.55	 3.95
17	68	85	3.08B	 2.62	 3.83
17	68	119	3.56PB	 2.80	 6.90
17	68	136	5.38PB	 2.91	 9.03
17	68	153	6.05PB	 3.04	11.18
17	68	170	6.41PB	 3.17	13.21
17	68	187	6.62PB	 3.32	15.16
17	68	204	6.76PB	 3.47	17.15
17	68	221	6.87PB	 3.63	19.14
17	68	238	6.94PB	 3.79	21.16
17	68	255	7.00PB	 3.96	23.32
17	85	0	8.49GY	 3.05	 9.01
17	85	17	9.15GY	 3.06	 8.43
17	85	34	0.27G	 3.08	 7.52
17	85	51	1.94G	 3.11	 6.46
17	85	68	6.56G	 3.15	 5.33
17	85	85	3.97BG	 3.20	 4.57
17	85	102	1.63B	 3.26	 4.40
17	85	119	7.97B	 3.34	 5.44
17	85	136	1.95PB	 3.43	 7.15
17	85	153	4.37PB	 3.53	 9.14
17	85	170	5.53PB	 3.64	11.26
17	85	187	6.07PB	 3.76	13.41
17	85	204	6.42PB	 3.88	15.51
17	85	221	6.66PB	 4.02	17.55
17	85	238	6.80PB	 4.17	19.19
17	85	255	6.90PB	 4.32	20.97
17	102	0	8.80GY	 3.65	 9.91
17	102	17	9.24GY	 3.66	 9.41
17	102	34	0.07G	 3.67	 8.65
17	102	51	1.19G	 3.70	 7.81
17	102	68	3.04G	 3.73	 6.71
17	102	85	7.98G	 3.77	 5.80
17	102	102	4.26BG	 3.82	 5.22
17	102	119	0.82B	 3.88	 5.15
17	102	136	6.51B	 3.95	 6.10
17	102	153	0.69PB	 4.03	 7.67
17	102	170	3.18PB	 4.13	 9.57
17	102	187	5.01PB	 4.23	11.57
17	102	204	5.70PB	 4.34	13.53
17	102	221	6.16PB	 4.45	15.43
17	102	238	6.46PB	 4.58	17.25
17	102	255	6.68PB	 4.71	18.99
17	119	0	9.05GY	 4.24	10.96
17	119	17	9.40GY	 4.25	10.54
17	119	34	0.04G	 4.26	 9.89
17	119	51	0.78G	 4.28	 9.10
17	119	68	1.90G	 4.30	 8.15
17	119	85	4.22G	 4.33	 7.20
17	119	102	9.09G	 4.38	 6.42
17	119	119	4.56BG	 4.43	 5.91
17	119	136	0.20B	 4.49	 5.80
17	119	153	5.33B	 4.56	 6.52
17	119	170	9.45B	 4.63	 7.93
17	119	187	2.05PB	 4.72	 9.72
17	119	204	4.03PB	 4.81	11.66
17	119	221	5.30PB	 4.91	13.63
17	119	238	5.86PB	 5.02	15.49
17	119	255	6.25PB	 5.14	17.17
17	136	0	9.27GY	 4.82	12.17
17	136	17	9.52GY	 4.82	11.80
17	136	34	9.98GY	 4.83	11.20
17	136	51	0.51G	 4.85	10.50
17	136	68	1.32G	 4.87	 9.64
17	136	85	2.59G	 4.90	 8.77
17	136	102	5.18G	 4.93	 7.87
