Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
7.5G	5	8	0	139	112	 Out
7.5G	5	10	0	142	109	 Out
7.5G	5	12	0	145	107	 Out
7.5G	5	14	0	148	105	 Out
7.5G	5	16	0	150	104	 Out
7.5G	5	18	0	152	103	 Out
7.5G	5	20	0	154	102	 Out
7.5G	5	22	0	156	101	 Out
7.5G	5	24	0	157	101	 Out
7.5G	5	26	0	158	100	 Out
7.5G	5	28	0	160	100	 Out
10.0G	5	2	106	126	125	 In
10.0G	5	4	84	131	123	 In
10.0G	5	6	55	135	121	 In
10.0G	5	8	0	139	119	 Out
10.0G	5	10	0	142	118	 Out
10.0G	5	12	0	146	117	 Out
10.0G	5	14	0	148	117	 Out
10.0G	5	16	0	150	117	 Out
10.0G	5	18	0	153	117	 Out
10.0G	5	20	0	154	116	 Out
10.0G	5	22	0	156	117	 Out
10.0G	5	24	0	157	117	 Out
10.0G	5	26	0	158	117	 Out
10.0G	5	28	0	159	117	 Out
2.5BG	5	2	105	126	127	 In
2.5BG	5	4	82	131	127	 In
2.5BG	5	6	51	135	127	 In
2.5BG	5	8	0	139	128	 Out
2.5BG	5	10	0	142	129	 Out
2.5BG	5	12	0	146	130	 Out
2.5BG	5	14	0	148	131	 Out
2.5BG	5	16	0	150	133	 Out
2.5BG	5	18	0	153	134	 Out
2.5BG	5	20	0	155	135	 Out
2.5BG	5	22	0	156	136	 Out
2.5BG	5	24	0	157	137	 Out
5.0BG	5	2	104	126	130	 In
5.0BG	5	4	80	130	132	 In
5.0BG	5	6	45	134	135	 In
5.0BG	5	8	0	138	139	 Out
5.0BG	5	10	0	142	142	 Out
5.0BG	5	12	0	145	145	 Out
5.0BG	5	14	0	148	148	 Out
5.0BG	5	16	0	150	151	 Out
5.0BG	5	18	0	153	154	 Out
5.0BG	5	20	0	155	157	 Out
5.0BG	5	22	0	156	159	 Out
7.5BG	5	2	104	126	132	 In
7.5BG	5	4	79	130	137	 In
7.5BG	5	6	40	134	142	 In
7.5BG	5	8	0	138	147	 Out
7.5BG	5	10	0	141	153	 Out
7.5BG	5	12	0	145	158	 Out
7.5BG	5	14	0	147	163	 Out
7.5BG	5	16	0	150	167	 Out
7.5BG	5	18	0	153	172	 Out
10.0BG	5	2	105	125	134	 In
10.0BG	5	4	80	129	142	 In
10.0BG	5	6	39	133	150	 In
10.0BG	5	8	0	137	157	 Out
10.0BG	5	10	0	140	165	 Out
10.0BG	5	12	0	144	173	 Out
10.0BG	5	14	0	146	179	 Out
10.0BG	5	16	0	149	186	 Out
2.5B	5	2	106	125	136	 In
2.5B	5	4	82	129	146	 In
2.5B	5	6	43	132	155	 In
2.5B	5	8	0	135	165	 Out
2.5B	5	10	0	139	175	 Out
2.5B	5	12	0	142	186	 Out
2.5B	5	14	0	145	194	 Out
2.5B	5	16	0	148	204	 Out
5.0B	5	2	107	124	138	 In
5.0B	5	4	85	128	149	 In
5.0B	5	6	53	131	161	 In
5.0B	5	8	0	133	173	 Out
5.0B	5	10	0	136	185	 Out
5.0B	5	12	0	139	198	 Out
5.0B	5	14	0	141	210	 Out
5.0B	5	16	0	144	223	 Out
7.5B	5	2	109	124	139	 In
7.5B	5	4	90	126	152	 In
7.5B	5	6	65	129	164	 In
7.5B	5	8	3	131	177	 In
7.5B	5	10	0	133	191	 Out
7.5B	5	12	0	135	205	 Out
7.5B	5	14	0	138	218	 Out
7.5B	5	16	0	140	233	 Out
10.0B	5	2	112	123	140	 In
10.0B	5	4	97	125	153	 In
10.0B	5	6	77	127	167	 In
10.0B	5	8	45	129	180	 In
10.0B	5	10	0	130	194	 Out
10.0B	5	12	0	132	208	 Out
10.0B	5	14	0	134	222	 Out
10.0B	5	16	0	136	238	 Out
10.0B	5	18	0	138	251	 Out
2.5PB	5	2	115	122	141	 In
2.5PB	5	4	103	123	154	 In
2.5PB	5	6	89	124	169	 In
2.5PB	5	8	70	125	183	 In
2.5PB	5	10	39	126	197	 In
2.5PB	5	12	0	127	211	 Out
2.5PB	5	14	0	128	225	 Out
2.5PB	5	16	0	129	241	 Out
2.5PB	5	18	0	130	255	 Out
5.0PB	5	2	119	121	141	 In
5.0PB	5	4	111	121	155	 In
5.0PB	5	6	101	122	169	 In
5.0PB	5	8	88	122	183	 In
5.0PB	5	10	72	122	198	 In
5.0PB	5	12	46	123	212	 In
5.0PB	5	14	0	123	226	 Out
5.0PB	5	16	0	123	243	 Out
5.0PB	5	18	0	123	255	 Out
7.5PB	5	2	122	120	141	 In
7.5PB	5	4	118	119	154	 In
7.5PB	5	6	114	118	169	 In
7.5PB	5	8	110	117	183	 In
7.5PB	5	10	105	116	196	 In
7.5PB	5	12	99	114	210	 In
7.5PB	5	14	93	113	225	 In
7.5PB	5	16	86	110	239	 In
7.5PB	5	18	80	107	254	 In
7.5PB	5	20	74	104	255	 Out
10.0PB	5	2	125	119	140	 In
10.0PB	5	4	125	117	153	 In
10.0PB	5	6	125	115	168	 In
10.0PB	5	8	125	113	180	 In
10.0PB	5	10	126	110	192	 In
10.0PB	5	12	126	107	205	 In
10.0PB	5	14	127	104	218	 In
10.0PB	5	16	128	100	230	 In
10.0PB	5	18	129	96	241	 In
10.0PB	5	20	131	91	253	 In
10.0PB	5	22	135	84	255	 Out
2.5P	5	2	128	118	139	 In
2.5P	5	4	130	116	152	 In
2.5P	5	6	133	113	164	 In
2.5P	5	8	137	109	176	 In
2.5P	5	10	141	106	186	 In
2.5P	5	12	145	101	198	 In
2.5P	5	14	149	97	208	 In
2.5P	5	16	153	91	218	 In
2.5P	5	18	158	86	228	 In
2.5P	5	20	162	78	239	 In
2.5P	5	22	167	69	250	 In
2.5P	5	24	172	58	255	 Out
2.5P	5	26	178	42	255	 Out
5.0P	5	2	130	118	138	 In
5.0P	5	4	135	114	149	 In
5.0P	5	6	141	111	160	 In
5.0P	5	8	146	106	170	 In
5.0P	5	10	152	102	180	 In
5.0P	5	12	157	97	190	 In
5.0P	5	14	163	91	199	 In
5.0P	5	16	168	85	209	 In
5.0P	5	18	174	77	218	 In
5.0P	5	20	180	68	228	 In
5.0P	5	22	186	56	237	 In
5.0P	5	24	193	38	247	 In
5.0P	5	26	199	0	255	 Out
5.0P	5	28	206	0	255	 Out
7.5P	5	2	133	117	136	 In
7.5P	5	4	141	113	145	 In
7.5P	5	6	148	108	154	 In
7.5P	5	8	156	103	163	 In
7.5P	5	10	163	98	171	 In
7.5P	5	12	170	91	180	 In
7.5P	5	14	178	84	188	 In
7.5P	5	16	185	76	196	 In
7.5P	5	18	192	66	204	 In
7.5P	5	20	199	53	213	 In
7.5P	5	22	207	30	222	 In
7.5P	5	24	213	0	229	 Out
7.5P	5	26	220	0	238	 Out
7.5P	5	28	228	0	246	 Out
7.5P	5	30	236	0	255	 Out
10.0P	5	2	134	117	134	 In
10.0P	5	4	144	112	141	 In
10.0P	5	6	154	106	148	 In
10.0P	5	8	164	100	155	 In
10.0P	5	10	172	94	162	 In
10.0P	5	12	181	87	169	 In
10.0P	5	14	189	78	176	 In
10.0P	5	16	197	68	182	 In
10.0P	5	18	205	55	189	 In
10.0P	5	20	214	34	196	 In
10.0P	5	22	221	0	203	 Out
10.0P	5	24	229	0	210	 Out
10.0P	5	26	238	0	217	 Out
10.0P	5	28	246	0	224	 Out
10.0P	5	30	254	0	232	 Out
2.5RP	5	2	136	116	132	 In
2.5RP	5	4	148	111	136	 In
2.5RP	5	6	159	105	141	 In
2.5RP	5	8	171	98	147	 In
2.5RP	5	10	180	91	151	 In
2.5RP	5	12	190	82	156	 In
2.5RP	5	14	200	72	161	 In
2.5RP	5	16	208	60	166	 In
2.5RP	5	18	217	42	171	 In
2.5RP	5	20	226	2	176	 In
2.5RP	5	22	235	0	182	 Out
2.5RP	5	24	243	0	186	 Out
2.5RP	5	26	252	0	192	 Out
5.0RP	5	2	138	116	129	 In
5.0RP	5	4	151	110	130	 In
5.0RP	5	6	164	104	132	 In
5.0RP	5	8	177	96	135	 In
5.0RP	5	10	188	88	137	 In
5.0RP	5	12	199	78	139	 In
5.0RP	5	14	209	66	142	 In
5.0RP	5	16	219	50	144	 In
5.0RP	5	18	229	25	147	 In
5.0RP	5	20	239	0	150	 Out
5.0RP	5	22	248	0	153	 Out
5.0RP	5	24	255	0	156	 Out
7.5RP	5	2	139	116	127	 In
7.5RP	5	4	154	110	126	 In
7.5RP	5	6	167	103	126	 In
7.5RP	5	8	181	95	126	 In
7.5RP	5	10	191	87	126	 In
7.5RP	5	12	204	75	126	 In
7.5RP	5	14	214	64	127	 In
7.5RP	5	16	224	46	128	 In
7.5RP	5	18	234	12	129	 In
7.5RP	5	20	245	0	131	 Out
7.5RP	5	22	254	0	132	 Out
10.0RP	6	2	166	141	151	 In
10.0RP	6	4	181	136	148	 In
10.0RP	6	6	197	129	145	 In
10.0RP	6	8	209	122	142	 In
10.0RP	6	10	222	114	140	 In
10.0RP	6	12	235	105	137	 In
10.0RP	6	14	246	94	135	 In
10.0RP	6	16	255	79	133	 Out
10.0RP	6	18	255	62	132	 Out
2.5R	6	2	167	141	150	 In
2.5R	6	4	183	135	145	 In
2.5R	6	6	198	129	139	 In
2.5R	6	8	211	122	134	 In
2.5R	6	10	224	114	129	 In
2.5R	6	12	237	104	124	 In
2.5R	6	14	249	94	120	 In
2.5R	6	16	255	79	116	 Out
2.5R	6	18	255	62	112	 Out
5.0R	6	2	167	141	148	 In
5.0R	6	4	184	135	140	 In
5.0R	6	6	199	129	132	 In
5.0R	6	8	212	122	126	 In
5.0R	6	10	226	114	118	 In
5.0R	6	12	239	105	111	 In
5.0R	6	14	250	95	104	 In
5.0R	6	16	255	82	96	 Out
5.0R	6	18	255	65	89	 Out
7.5R	6	2	168	141	145	 In
7.5R	6	4	185	136	136	 In
7.5R	6	6	199	129	126	 In
7.5R	6	8	213	123	116	 In
7.5R	6	10	227	115	104	 In
7.5R	6	12	239	107	93	 In
7.5R	6	14	250	97	82	 In
7.5R	6	16	255	86	69	 Out
7.5R	6	18	255	73	56	 Out
10.0R	6	2	169	141	143	 In
10.0R	6	4	185	136	130	 In
10.0R	6	6	199	130	117	 In
10.0R	6	8	212	124	103	 In
10.0R	6	10	225	117	88	 In
10.0R	6	12	236	110	72	 In
10.0R	6	14	246	102	52	 In
10.0R	6	16	255	95	28	 In
10.0R	6	18	255	86	0	 Out
2.5YR	6	2	169	141	139	 In
2.5YR	6	4	184	137	125	 In
2.5YR	6	6	198	132	109	 In
2.5YR	6	8	210	126	93	 In
2.5YR	6	10	221	121	74	 In
2.5YR	6	12	230	116	52	 In
2.5YR	6	14	238	111	21	 In
2.5YR	6	16	243	107	0	 Out
2.5YR	6	18	248	103	0	 Out
5.0YR	6	2	168	142	137	 In
5.0YR	6	4	182	138	119	 In
5.0YR	6	6	195	134	100	 In
5.0YR	6	8	206	130	80	 In
5.0YR	6	10	215	126	58	 In
5.0YR	6	12	222	122	29	 In
5.0YR	6	14	227	119	0	 Out
5.0YR	6	16	231	117	0	 Out
5.0YR	6	18	234	115	0	 Out
7.5YR	6	2	167	143	134	 In
7.5YR	6	4	180	139	115	 In
7.5YR	6	6	191	136	93	 In
7.5YR	6	8	200	133	70	 In
7.5YR	6	10	207	130	43	 In
7.5YR	6	12	213	128	0	 Out
7.5YR	6	14	216	126	0	 Out
7.5YR	6	16	219	125	0	 Out
10.0YR	6	2	165	144	131	 In
10.0YR	6	4	176	141	109	 In
10.0YR	6	6	186	139	85	 In
10.0YR	6	8	193	137	60	 In
10.0YR	6	10	199	135	26	 In
10.0YR	6	12	203	134	0	 Out
10.0YR	6	14	206	133	0	 Out
2.5Y	6	2	162	145	129	 In
2.5Y	6	4	171	144	105	 In
2.5Y	6	6	179	142	79	 In
2.5Y	6	8	185	141	50	 In
2.5Y	6	10	190	139	0	 Out
2.5Y	6	12	193	139	0	 Out
2.5Y	6	14	195	138	0	 Out
5.0Y	6	2	159	146	128	 In
5.0Y	6	4	166	146	102	 In
5.0Y	6	6	172	145	74	 In
5.0Y	6	8	177	144	42	 In
5.0Y	6	10	180	144	0	 Out
5.0Y	6	12	182	143	0	 Out
5.0Y	6	14	183	143	0	 Out
7.5Y	6	2	157	147	127	 In
7.5Y	6	4	161	147	101	 In
7.5Y	6	6	165	148	72	 In
7.5Y	6	8	168	148	37	 In
7.5Y	6	10	170	148	0	 Out
7.5Y	6	12	172	147	0	 Out
7.5Y	6	14	173	147	0	 Out
10.0Y	6	2	154	148	127	 In
10.0Y	6	4	157	149	102	 In
10.0Y	6	6	159	150	73	 In
10.0Y	6	8	160	150	37	 In
10.0Y	6	10	161	151	0	 Out
10.0Y	6	12	161	151	0	 Out
10.0Y	6	14	162	151	0	 Out
2.5GY	6	2	151	149	129	 In
2.5GY	6	4	150	151	104	 In
2.5GY	6	6	149	152	77	 In
2.5GY	6	8	148	154	43	 In
2.5GY	6	10	148	155	0	 Out
2.5GY	6	12	147	155	0	 Out
2.5GY	6	14	146	156	0	 Out
5.0GY	6	2	148	149	131	 In
5.0GY	6	4	144	152	108	 In
5.0GY	6	6	140	155	85	 In
5.0GY	6	8	136	157	56	 In
5.0GY	6	10	132	158	7	 In
5.0GY	6	12	129	160	0	 Out
5.0GY	6	14	126	161	0	 Out
7.5GY	6	2	142	151	135	 In
7.5GY	6	4	134	154	117	 In
7.5GY	6	6	126	157	98	 In
7.5GY	6	8	117	160	75	 In
7.5GY	6	10	107	163	50	 In
7.5GY	6	12	97	165	4	 In
7.5GY	6	14	86	167	0	 Out
7.5GY	6	16	77	169	0	 Out
10.0GY	6	2	138	151	139	 In
10.0GY	6	4	127	155	124	 In
10.0GY	6	6	114	159	109	 In
10.0GY	6	8	99	163	93	 In
10.0GY	6	10	82	166	77	 In
10.0GY	6	12	60	169	58	 In
10.0GY	6	14	11	172	33	 In
10.0GY	6	16	0	174	0	 Out
10.0GY	6	18	0	176	0	 Out
10.0GY	6	20	0	178	0	 Out
2.5G	6	2	135	152	143	 In
2.5G	6	4	118	157	133	 In
2.5G	6	6	100	161	123	 In
2.5G	6	8	78	164	114	 In
2.5G	6	10	43	168	105	 In
2.5G	6	12	0	171	97	 Out
2.5G	6	14	0	174	87	 Out
2.5G	6	16	0	177	79	 Out
2.5G	6	18	0	179	71	 Out
2.5G	6	20	0	182	64	 Out
2.5G	6	22	0	184	57	 Out
2.5G	6	24	0	186	50	 Out
2.5G	6	26	0	188	43	 Out
2.5G	6	28	0	189	37	 Out
5.0G	6	2	133	152	146	 In
5.0G	6	4	113	157	139	 In
5.0G	6	6	91	161	133	 In
5.0G	6	8	62	165	128	 In
5.0G	6	10	0	169	124	 Out
5.0G	6	12	0	172	119	 Out
5.0G	6	14	0	175	115	 Out
5.0G	6	16	0	178	112	 Out
5.0G	6	18	0	180	110	 Out
5.0G	6	20	0	183	107	 Out
5.0G	6	22	0	185	105	 Out
5.0G	6	24	0	187	103	 Out
5.0G	6	26	0	188	102	 Out
5.0G	6	28	0	190	101	 Out
7.5G	6	2	132	152	149	 In
7.5G	6	4	110	157	144	 In
7.5G	6	6	86	161	140	 In
7.5G	6	8	51	165	137	 In
7.5G	6	10	0	169	134	 Out
7.5G	6	12	0	172	131	 Out
7.5G	6	14	0	175	129	 Out
7.5G	6	16	0	178	127	 Out
7.5G	6	18	0	181	125	 Out
7.5G	6	20	0	183	124	 Out
7.5G	6	22	0	185	123	 Out
7.5G	6	24	0	187	122	 Out
7.5G	6	26	0	188	121	 Out
7.5G	6	28	0	190	120	 Out
10.0G	6	2	131	152	151	 In
10.0G	6	4	107	157	148	 In
10.0G	6	6	82	161	146	 In
10.0G	6	8	38	165	145	 In
10.0G	6	10	0	169	143	 Out
10.0G	6	12	0	173	142	 Out
10.0G	6	14	0	175	141	 Out
10.0G	6	16	0	178	140	 Out
10.0G	6	18	0	181	140	 Out
10.0G	6	20	0	183	139	 Out
10.0G	6	22	0	185	139	 Out
10.0G	6	24	0	187	139	 Out
10.0G	6	26	0	188	139	 Out
2.5BG	6	2	130	152	153	 In
2.5BG	6	4	105	157	153	 In
2.5BG	6	6	78	161	152	 In
2.5BG	6	8	19	165	153	 In
2.5BG	6	10	0	169	154	 Out
2.5BG	6	12	0	172	154	 Out
2.5BG	6	14	0	175	155	 Out
2.5BG	6	16	0	178	156	 Out
2.5BG	6	18	0	181	157	 Out
2.5BG	6	20	0	183	159	 Out
2.5BG	6	22	0	185	160	 Out
5.0BG	6	2	129	152	156	 In
5.0BG	6	4	104	157	158	 In
5.0BG	6	6	72	161	161	 In
5.0BG	6	8	0	165	164	 Out
5.0BG	6	10	0	169	167	 Out
5.0BG	6	12	0	172	169	 Out
5.0BG	6	14	0	175	172	 Out
5.0BG	6	16	0	178	175	 Out
5.0BG	6	18	0	181	178	 Out
5.0BG	6	20	0	183	180	 Out
7.5BG	6	2	129	152	159	 In
7.5BG	6	4	103	157	164	 In
7.5BG	6	6	70	161	168	 In
7.5BG	6	8	0	165	173	 Out
7.5BG	6	10	0	168	178	 Out
7.5BG	6	12	0	172	183	 Out
7.5BG	6	14	0	175	187	 Out
7.5BG	6	16	0	177	191	 Out
7.5BG	6	18	0	180	196	 Out
10.0BG	6	2	130	151	161	 In
10.0BG	6	4	105	156	168	 In
10.0BG	6	6	70	160	176	 In
10.0BG	6	8	0	164	183	 Out
10.0BG	6	10	0	167	190	 Out
10.0BG	6	12	0	170	197	 Out
10.0BG	6	14	0	173	204	 Out
10.0BG	6	16	0	176	211	 Out
10.0BG	6	18	0	179	218	 Out
2.5B	6	2	131	151	163	 In
2.5B	6	4	107	155	172	 In
2.5B	6	6	73	159	182	 In
2.5B	6	8	0	162	192	 Out
2.5B	6	10	0	165	201	 Out
2.5B	6	12	0	169	211	 Out
2.5B	6	14	0	172	220	 Out
2.5B	6	16	0	175	230	 Out
5.0B	6	2	134	150	164	 In
5.0B	6	4	112	154	175	 In
5.0B	6	6	82	157	188	 In
5.0B	6	8	25	160	200	 In
5.0B	6	10	0	163	212	 Out
5.0B	6	12	0	165	224	 Out
5.0B	6	14	0	168	237	 Out
5.0B	6	16	0	172	250	 Out
7.5B	6	2	136	149	165	 In
7.5B	6	4	118	152	178	 In
7.5B	6	6	93	155	191	 In
7.5B	6	8	57	157	205	 In
7.5B	6	10	0	160	218	 Out
7.5B	6	12	0	162	232	 Out
7.5B	6	14	0	165	247	 Out
7.5B	6	16	0	167	255	 Out
10.0B	6	2	139	148	166	 In
10.0B	6	4	124	151	179	 In
10.0B	6	6	104	153	194	 In
10.0B	6	8	78	155	208	 In
10.0B	6	10	31	157	221	 In
10.0B	6	12	0	159	237	 Out
10.0B	6	14	0	161	253	 Out
10.0B	6	16	0	163	255	 Out
2.5PB	6	2	142	147	167	 In
2.5PB	6	4	131	149	180	 In
2.5PB	6	6	116	150	195	 In
2.5PB	6	8	99	151	210	 In
2.5PB	6	10	76	152	225	 In
2.5PB	6	12	21	154	241	 In
2.5PB	6	14	0	155	255	 Out
5.0PB	6	2	145	147	167	 In
5.0PB	6	4	137	147	181	 In
5.0PB	6	6	127	148	196	 In
5.0PB	6	8	115	148	211	 In
5.0PB	6	10	101	148	225	 In
5.0PB	6	12	78	149	242	 In
5.0PB	6	14	39	149	255	 Out
7.5PB	6	2	148	146	167	 In
7.5PB	6	4	144	145	181	 In
7.5PB	6	6	140	144	196	 In
7.5PB	6	8	136	143	209	 In
7.5PB	6	10	131	142	223	 In
7.5PB	6	12	124	141	240	 In
7.5PB	6	14	116	139	255	 Out
10.0PB	6	2	151	145	166	 In
10.0PB	6	4	151	143	180	 In
10.0PB	6	6	150	141	194	 In
10.0PB	6	8	150	139	207	 In
10.0PB	6	10	150	137	220	 In
10.0PB	6	12	150	134	234	 In
10.0PB	6	14	150	131	249	 In
10.0PB	6	16	151	127	255	 Out
2.5P	6	2	153	144	166	 In
2.5P	6	4	156	142	178	 In
2.5P	6	6	159	139	191	 In
2.5P	6	8	162	136	203	 In
2.5P	6	10	166	132	215	 In
2.5P	6	12	170	128	227	 In
2.5P	6	14	174	124	238	 In
2.5P	6	16	179	118	251	 In
2.5P	6	18	183	113	255	 Out
5.0P	6	2	156	143	165	 In
5.0P	6	4	161	140	175	 In
5.0P	6	6	166	137	187	 In
5.0P	6	8	171	133	197	 In
5.0P	6	10	177	129	208	 In
5.0P	6	12	183	124	218	 In
5.0P	6	14	189	118	229	 In
5.0P	6	16	195	112	240	 In
5.0P	6	18	200	106	250	 In
5.0P	6	20	207	97	255	 Out
7.5P	6	2	159	143	162	 In
7.5P	6	4	167	139	171	 In
7.5P	6	6	175	134	180	 In
7.5P	6	8	183	129	189	 In
7.5P	6	10	191	124	198	 In
7.5P	6	12	198	118	206	 In
7.5P	6	14	206	112	215	 In
7.5P	6	16	213	104	224	 In
7.5P	6	18	221	96	232	 In
7.5P	6	20	230	83	243	 In
7.5P	6	22	238	69	252	 In
7.5P	6	24	246	50	255	 Out
10.0P	6	2	161	142	160	 In
10.0P	6	4	170	138	167	 In
10.0P	6	6	181	132	174	 In
10.0P	6	8	190	127	181	 In
10.0P	6	10	200	121	188	 In
10.0P	6	12	208	114	195	 In
10.0P	6	14	218	106	202	 In
10.0P	6	16	227	97	209	 In
10.0P	6	18	235	88	216	 In
10.0P	6	20	244	73	224	 In
10.0P	6	22	253	55	232	 In
10.0P	6	24	255	24	239	 Out
10.0P	6	26	255	0	247	 Out
2.5RP	6	2	163	142	158	 In
2.5RP	6	4	174	137	162	 In
2.5RP	6	6	186	131	167	 In
2.5RP	6	8	197	125	172	 In
2.5RP	6	10	207	119	176	 In
2.5RP	6	12	218	111	181	 In
2.5RP	6	14	228	101	186	 In
2.5RP	6	16	239	91	192	 In
2.5RP	6	18	248	79	197	 In
2.5RP	6	20	255	60	202	 Out
2.5RP	6	22	255	38	207	 Out
2.5RP	6	24	255	0	213	 Out
5.0RP	6	2	164	142	155	 In
5.0RP	6	4	177	136	157	 In
5.0RP	6	6	191	130	158	 In
5.0RP	6	8	203	123	160	 In
5.0RP	6	10	214	116	162	 In
5.0RP	6	12	226	108	164	 In
5.0RP	6	14	238	97	167	 In
5.0RP	6	16	249	85	169	 In
5.0RP	6	18	255	70	172	 Out
5.0RP	6	20	255	44	175	 Out
5.0RP	6	22	255	0	177	 Out
7.5RP	6	2	165	142	153	 In
7.5RP	6	4	179	136	152	 In
7.5RP	6	6	195	129	152	 In
7.5RP	6	8	206	123	151	 In
7.5RP	6	10	219	115	151	 In
7.5RP	6	12	231	106	151	 In
7.5RP	6	14	243	95	152	 In
7.5RP	6	16	255	81	153	 In
7.5RP	6	18	255	66	153	 Out
7.5RP	6	20	255	37	155	 Out
10.0RP	7	2	192	168	179	 In
10.0RP	7	4	208	162	175	 In
10.0RP	7	6	223	155	172	 In
10.0RP	7	8	238	148	168	 In
10.0RP	7	10	252	140	165	 In
10.0RP	7	12	255	130	162	 Out
10.0RP	7	14	255	120	159	 Out
10.0RP	7	16	255	107	157	 Out
2.5R	7	2	193	167	177	 In
2.5R	7	4	209	162	171	 In
2.5R	7	6	225	155	165	 In
2.5R	7	8	240	148	160	 In
2.5R	7	10	254	140	154	 In
2.5R	7	12	255	130	148	 Out
2.5R	7	14	255	120	144	 Out
2.5R	7	16	255	107	139	 Out
5.0R	7	2	194	167	175	 In
5.0R	7	4	211	162	167	 In
5.0R	7	6	226	155	159	 In
5.0R	7	8	242	148	151	 In
5.0R	7	10	255	140	144	 Out
5.0R	7	12	255	131	135	 Out
5.0R	7	14	255	121	127	 Out
7.5R	7	2	195	167	173	 In
7.5R	7	4	212	162	162	 In
7.5R	7	6	227	156	152	 In
7.5R	7	8	243	148	140	 In
7.5R	7	10	255	141	130	 Out
7.5R	7	12	255	133	117	 Out
7.5R	7	14	255	124	105	 Out
7.5R	7	16	255	113	92	 Out
10.0R	7	2	195	167	170	 In
10.0R	7	4	212	162	156	 In
10.0R	7	6	228	156	143	 In
10.0R	7	8	242	150	128	 In
10.0R	7	10	254	144	114	 In
10.0R	7	12	255	136	97	 Out
10.0R	7	14	255	129	78	 Out
10.0R	7	16	255	121	56	 Out
2.5YR	7	2	195	168	167	 In
2.5YR	7	4	211	163	151	 In
2.5YR	7	6	226	158	134	 In
2.5YR	7	8	239	152	117	 In
2.5YR	7	10	250	147	100	 In
2.5YR	7	12	255	141	78	 Out
2.5YR	7	14	255	136	51	 Out
2.5YR	7	16	255	131	4	 Out
2.5YR	7	18	255	128	0	 Out
2.5YR	7	20	255	125	0	 Out
5.0YR	7	2	195	168	164	 In
5.0YR	7	4	210	164	145	 In
5.0YR	7	6	223	160	125	 In
5.0YR	7	8	234	156	106	 In
5.0YR	7	10	244	152	85	 In
5.0YR	7	12	253	148	58	 In
5.0YR	7	14	255	144	17	 Out
5.0YR	7	16	255	141	0	 Out
5.0YR	7	18	255	139	0	 Out
5.0YR	7	20	255	138	0	 Out
7.5YR	7	2	194	169	161	 In
7.5YR	7	4	207	165	140	 In
7.5YR	7	6	219	162	118	 In
7.5YR	7	8	228	159	96	 In
7.5YR	7	10	236	156	72	 In
7.5YR	7	12	244	153	38	 In
7.5YR	7	14	249	151	0	 Out
7.5YR	7	16	252	150	0	 Out
7.5YR	7	18	255	149	0	 Out
10.0YR	7	2	192	170	157	 In
10.0YR	7	4	203	167	134	 In
10.0YR	7	6	213	165	110	 In
10.0YR	7	8	221	163	86	 In
10.0YR	7	10	228	161	58	 In
10.0YR	7	12	233	159	5	 In
10.0YR	7	14	237	158	0	 Out
10.0YR	7	16	240	157	0	 Out
10.0YR	7	18	242	156	0	 Out
2.5Y	7	2	189	171	155	 In
2.5Y	7	4	199	169	130	 In
2.5Y	7	6	207	168	105	 In
2.5Y	7	8	213	167	78	 In
2.5Y	7	10	219	165	44	 In
2.5Y	7	12	223	164	0	 Out
2.5Y	7	14	226	164	0	 Out
2.5Y	7	16	228	163	0	 Out
5.0Y	7	2	186	172	153	 In
5.0Y	7	4	193	172	127	 In
5.0Y	7	6	198	171	100	 In
5.0Y	7	8	204	171	71	 In
5.0Y	7	10	208	170	29	 In
5.0Y	7	12	211	170	0	 Out
5.0Y	7	14	212	169	0	 Out
5.0Y	7	16	214	169	0	 Out
7.5Y	7	2	184	173	153	 In
7.5Y	7	4	188	173	126	 In
7.5Y	7	6	192	174	99	 In
7.5Y	7	8	195	174	68	 In
7.5Y	7	10	198	174	19	 In
7.5Y	7	12	200	174	0	 Out
7.5Y	7	14	201	174	0	 Out
7.5Y	7	16	202	174	0	 Out
10.0Y	7	2	181	174	153	 In
10.0Y	7	4	184	175	126	 In
10.0Y	7	6	186	176	99	 In
10.0Y	7	8	187	176	68	 In
10.0Y	7	10	189	177	14	 In
10.0Y	7	12	189	177	0	 Out
10.0Y	7	14	190	178	0	 Out
10.0Y	7	16	190	178	0	 Out
2.5GY	7	2	178	175	154	 In
2.5GY	7	4	177	177	129	 In
2.5GY	7	6	177	178	104	 In
2.5GY	7	8	176	180	73	 In
2.5GY	7	10	175	181	27	 In
2.5GY	7	12	174	182	0	 Out
2.5GY	7	14	174	182	0	 Out
2.5GY	7	16	173	183	0	 Out
5.0GY	7	2	175	175	156	 In
