Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
5.0BG	2	12	0	65	73	 Out
7.5BG	2	2	36	52	56	 In
7.5BG	2	4	1	55	62	 In
7.5BG	2	6	0	58	67	 Out
7.5BG	2	8	0	61	73	 Out
7.5BG	2	10	0	63	78	 Out
7.5BG	2	12	0	65	82	 Out
10.0BG	2	2	35	52	58	 In
10.0BG	2	4	0	55	66	 Out
10.0BG	2	6	0	57	74	 Out
10.0BG	2	8	0	60	82	 Out
10.0BG	2	10	0	63	89	 Out
2.5B	2	2	35	52	60	 In
2.5B	2	4	0	54	69	 Out
2.5B	2	6	0	57	79	 Out
2.5B	2	8	0	60	89	 Out
2.5B	2	10	0	62	99	 Out
5.0B	2	2	36	51	61	 In
5.0B	2	4	3	54	72	 In
5.0B	2	6	0	56	84	 Out
5.0B	2	8	0	58	97	 Out
5.0B	2	10	0	60	108	 Out
7.5B	2	2	37	51	63	 In
7.5B	2	4	10	53	75	 In
7.5B	2	6	0	55	88	 Out
7.5B	2	8	0	56	101	 Out
7.5B	2	10	0	58	114	 Out
10.0B	2	2	39	50	64	 In
10.0B	2	4	19	52	77	 In
10.0B	2	6	0	53	90	 Out
10.0B	2	8	0	55	104	 Out
10.0B	2	10	0	56	117	 Out
2.5PB	2	2	41	50	65	 In
2.5PB	2	4	28	50	78	 In
2.5PB	2	6	0	51	92	 Out
2.5PB	2	8	0	52	106	 Out
2.5PB	2	10	0	52	119	 Out
2.5PB	2	12	0	52	132	 Out
5.0PB	2	2	44	49	66	 In
5.0PB	2	4	35	49	79	 In
5.0PB	2	6	20	49	92	 In
5.0PB	2	8	0	49	106	 Out
